Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. и 2. али
2,a kamo li,conj,,не говорећи о
3,aba,adv mod,,једва
4,aba,adv mod,,већ
5,abcîn,n m,-a/-es-,челик
6,abcînalo,adj m,,"од челика, челични"
7,abêrš,adv temp,,ове године
8,abjan,n m,-a/-es-,свадба
9,abjav,n m,-a/-es-,"свадба [«kêrêl abjav» - удати се, женити се]"
10,abjavesko,adj m,,"свадбени, венчани"
11,abjavořo,n m,-e/-es-,мала свадба
12,ablakato,n m,—/-es-,адвокат
13,aburil,v itr,-isard-/-ime,пуштати пару
14,aburo,n m,-urja/-os-,1. пара 2. дух
15,adaptacija,n f,-e/-a-,прилагођавање
16,ades,adv temp,,данас
17,aďes,adv temp,,данас
18,adesuno,adj m,,данашњи
19,adeto,n m,-urja/-os-,обичај
20,adînko,adj,,дубок
21,adoptiril,v tr,-isard-/-ime,усвајати
22,adresa,n f,-e/-a-,адреса
23,adžes,adv temp,,данас
24,afekto si pe,v phr itr,,"тицати се, утицати на"
25,afera,n f,-e/-a-,афера
26,aǧes,adv temp,,данас
27,agor,n m,-a/-es-,"1. ивица 2. уд, екстремитет 3. врх 4. крај 5. почетак"
28,agoral,adv loc,,"на крају, на ивици, на рубу"
29,agoruno,adj m,,1. крајњи 2. последњи
30,agresivno,adj,,агресиван
31,agrikulturalno,adj,,пољопривредан
32,aivend,adv temp,,ову зиму
33,aj,conj,,и
34,ajda,interj,,"хајде, идемо"
35,ajkula,n f,-e/-a-,ајкула
36,ajsar,interj,,зашто да не
37,ajsar,adv caus,,сигурно
38,ajso,adv caus,,сигурно
39,ajzlogo,n m,-urja/-os-,излог
40,akana,adv temp,,сада
41,akanaš,adv temp,,сада
42,akaring,adv loc,,1. овде 2. овамо
43,akatar,adv loc,,одавде
44,akate,adv loc,,овде
45,akathe,adv loc,,овде
46,akcija,n f,-e/-a-,акција
47,akê,interj,,1. гледе! 2. ту је!
48,akêta,interj,,1. гледе! 2. ту је!
49,akêvo,n m,-urja/-os-,"буре, бачва"
50,akharďol,v itr,-il-/-il-,звати се
51,akharel,v tr,-d-/-d-,"1. звати, викати 2. позвати [«akharel po xabe» - позвати на јело]"
52,akharimos,n m,-ata/-as-,"зов, позив"
53,akhjarel,v tr,-d-/-d-,"1. разумети, схватати 2. осећати"
54,akhor,n m,-a/-es-,1. орах 2. јечменац
55,akhoresko,adj m,,орахов
56,akhorin,n f,-a/-a-,орахово дрво
57,akhorinako,adj m,,орахов
58,ako,part foc,,"1. молим, ја немам ништа против 2. зашто не?"
59,ako,conj,,"кад, ако"
60,akovari,n m,-ja/-es-,бачвар
61,akovo,n m,-urja/-os-,"буре, бачва"
62,akušel,v tr,-l-/-l-,1. грдити 2. вређати
63,akušêl,v tr,-l-/-l-,узнемиравати
64,akušimos,n m,-ata/-as-,1. грдња 2. вређање
65,aľardol,v itr,-il-/-il-,"бити схваћен, бити разумљен"
66,aľarel,v tr,-d-/-d-,"разумети, схватати"
67,alaš,n m,-a/-es-,преноћиште
68,aľbjaca,n f,-e/-a-,1. глауком 2. катаракта
69,aldêmaš,n m,-a/-es-,поклон (након добре продаје)
70,aldomaš,n m,-a/-es-,поклон (након добре продаје)
71,alduisarel,v tr,-d-/-ime,благосиљати
72,ali,conj,,али
73,alimenta,n f,-e/-a-,"издржавање, алимента"
74,alkoholosko,adj m,,алкохоличарски
75,alol pe,v itr,,"разумети, схватати"
76,alomos,n m,-ata/-as-,1. избор 2. избори (политични)
77,alosarel,v tr,-d-/—,"бирати, изабирати"
78,alosavel,v itr,-d-/-d-,"разумети, схватати"
79,ama,conj,,1. али 2. чим
80,amal,n m,-a/-es-,"пријатељ, друг"
81,amalin,n f,-a/-a-,"пријатељица, другарица"
82,amalni,n f,-ja/-ja,"пријатељица, другарица"
83,amaro,pron poss 1 sg m,,наш
84,ambari,n m,-ja/-es-,штала
85,amblaimos,n m,-ata/-as-,бешење
86,amblajimata,n m pl,,бешење
87,amblal,n m,-a/-es-,"цепаница, велико дрво"
88,amblavel,v tr,-d-/-d-,1. вешати (погубити) 2. качити
89,amblavel pe,v itr,-d-/-d-,вешати се
90,amblavimos,n m,-ata/-as-,бешење
91,amboldel,v tr,,"1. вртети, окретати 2. враћати 3. завијати"
92,amboldel pe,v phr itr,,"ићи у круг, вртети се, окретати се"
93,amboldimos,n m,-ata/-as-,"1. ротација, преокрет 2. повратак"
94,amboldinari,n m,-ja/-es-,коврџа
95,amboldino,adj m,,"обрнут, изврнут, преврнут"
96,amboldo,adj m,,"обрнут, изврнут, преврнут"
97,ambolďol,v itr,-il-/-il-,"1. ићи у круг, вртети се, окретати се 2. враћати се 3. одвраћати се од 4. мотати се око 5. увијати се"
98,ambolil,v tr,-isard-/-ime,превлачити месингом
99,ambolimos,n m,-ata/-as-,превући нешто слојем месинга
100,amborim,adv mod,,можда
101,ambrol,n m,-a/-es-,1. крушка 2. сијалица
102,ambrol,n f,-a/-a-,крушка
103,ambrolengo,adj m,,од крушке
104,ambrolin,n f,-a/-a-,крушка (дрво)
105,ame,pron pers 1 pl,,ми
106,amen,pron pers 1 pl,,ми
107,amilaj,adv temp,,ово лета
108,aminte,n f,,"памћење, сећање"
109,amjazo,n m,-urja/-os-,подне
110,amľal,v itr,-j-/—,личити
111,amňal,v itr,-j-/—,личити
112,amnari,n m,-ja/-es-,кремен
113,ampêčisarel,v tr,-d-/-ime,мирити
114,ampêčisavol,v itr,-ajl-/-ajl-,1. мирити се с 2. споразумевати се
115,ampêǩisarel,v tr,-d-/-ime,мирити
116,ampêǩisavol,v itr,-ajl-/-ajl-,"помирити се с, споразумевати се"
117,ampêraťasa,n f,-e/-a-,"краљица, царица"
118,ampêraticko,adj,,"краљевски, царски"
119,amperato,n m,-urja/-os-,цар
120,ampêrato,n m,-urja/-os-,цар
121,ampêrêcija,n f,-e/-a-,"краљевина, царство, краљевство"
122,ampêrêto,n m,-urja/-os-,цар
123,ampêťisarel,v tr,-d-/-ime,мирити
124,ampêťisavol,v itr,-ajl-/-ajl-,"мирити се с, споразумевати се"
125,ampuil,v itr,-isard-/-ime,множити се
126,ampuškil,v tr,-isard-/-ime,1. стрељати 2. убијати
127,ampuškime,adj,,1. устрељен 2. убијен
128,ampuškimos,n m,-ata/-as-,1. пуцањ 2. пуцњава
129,ana,prep,,од
130,ananaso,n m,-urja/-os-,ананас
131,anav,n m,-a/-es-,име [«thol anav» - наименовати]
132,anda,prep,,од
133,anda kodeja,adv caus,,зато
134,andaŕat,adv temp,,рано ујутру
135,ande,prep,,у
136,ande zor,adv temp,,рано ујутро
137,anďelo,n m,-urja/-os-,анђео
138,ando,prep,,у
139,andoril pe,v itr,-isard-/-ime,"усуђивати се, осмељивати се"
140,andral,adv loc,,изнутра
141,andraluno,adj m,,унутрашњи
142,andre,adv loc,,унутра
143,andrê,adv loc,,унутра
144,andrêžîl,v tr,-isard-/-ime,заводити
145,andrêžîmos,n m,-ata/-as-,кушња
146,andruno,adj m,,унутрашњи
147,anduxo,adj,,dubok
148,andželo,n m,-urja/-os-,анђео
149,andźevo,n m,-urja/-os-,анђео
150,ane,prep,,у
151,anel,v tr,-d-/-d-,доносити
152,anel pe,v phr itr,-d-/-d-,личити
153,angali,n f,-ja/-ja,1. крило 2. загрљај [«del angali» - загрлити] [«kerel angali» - седети с прекрштенима ногама]
154,angar,n m,-a/-es-,угаљ
155,angarari,n f,-ja/-es-,пећ на угаљ
156,angaraš,n m,-a/-es-,трговац угљем
157,angarêsko,adj m,,"од угља, угљени"
158,angažuime,adj,,верен
159,angerel,v tr,-d-/-d-,1. доносити 2. односити
160,angla,prep,,"пред, пре"
161,angľa,adv temp,,пре
162,angľa,adv loc,,испред
163,anglaj ŕat,adv temp,,увече
164,anglal,adv loc,,од испред
165,anglal,adv temp,,"раније, пре"
166,anglamismeri,adv temp,,"ујутро, пре подне"
167,anglavmismeri,adv temp,,"ујутро, пре подне"
168,angle,adv loc,,испред
169,anglipe,n m,,будућност
170,angluji,num ord,,прва
171,anglunes,adv,,"1. најпре, унапред 2. испред"
172,angluno,adj m,,1. први 2. предњи
173,angoda,adv temp,,у међувремену
174,angrel,v tr,-d-/-d-,1. доносити 2. односити
175,angropol,v tr,,"закопавати, покопавати, сахрањивати"
176,angropomasko,n m,-e/-es-,"сахрана, погреб, спровод"
177,angropome,adj,,"сахрањен, покопан"
178,angropomos,n m,-ata/-as-,сахрана
179,angrusti,n f,-ja/-ja,прстен [«venčimaski angrušći» - бурма]
180,angrusťořî,n f,-ja/-ja,прстенчић
181,anino,n m,-urja/-os-,јоха
182,ankalaďol,v itr,-il-/-il-,излазити
183,ankalavel,v tr,-d-/-d-,"1. вадити, износити 2. зарађивати"
184,ankalel,v tr,-d-/-d-,"1. вадити, износити 2. зарађивати"
185,ankêrďol,v itr,-il-/-il-,"држати се (чега, кога)"
186,ankerel,v tr,-d-/-d-,"1. држати (чврсто) 2. примати 3. чувати, задржавати, одржавати 4. издржавати 5. подржавати (помоћи)"
187,ankêrel,v tr,-d-/-d-,"1. држати (чврсто) 2. примати 3. чувати, задржавати, одржавати 4. издржавати 5. подржавати"
188,ankêrel ravnoteža,v phr tr,-d-/-d-,"балансирати, држати равнотежу"
189,ankêsto,adv mod,,опкорачке
190,ankêsto,n m,-e/-es-,јахач
191,anklel,v itr,-ist-/-ist-,излазити
192,ankľel,v tr,-ist-/-ist-,"метнути горе, стављати горе"
193,ankolil,v itr,-isard-/-ime,"1. окруживати 2. избегавати 3. одступати 4. варати, обмањивати 5. прелетати очима"
194,ankolil pe,v itr,-isard-/-ime,кружити
195,ankolisavel,v itr,-d-/-d-,кружити
196,ankolo,n m,-urja/-os-,круг
197,ankrecîmos,n m,-ata/-as-,"1. коврџе, валови (коса) 2. фалте"
198,ankrecol,v tr,,"набирати, мрешкати"
199,ankrecol pe,v itr,,мрешкати се
200,ankrel,v tr,-d-/-d-,"1. држати (чврсто) 2. примати 3. чувати, задржавати, одржавати 4. издржавати 5. подржавати"
201,baba,n f,-e/-a-,стара жена
202,babica,n f,-e/-a-,1. пахуљица [«del babica» - падати (снег)] 2. стара жена (деминутив)
203,bačva,n f,-e/-a-,бачва
204,badego,n m,-urja/-os-,1. бачва 2. лонац 3. лименка
205,badňako,n m,-urja/-os-,божићна јелка
206,badogo,n m,-urja/-os-,1. бачва 2. лонац 3. лименка
207,badogosko,adj m,,"у облику блока (шипка, калупа)"
208,bagažo,n m,-urja/-os-,1. пртљаг 2. паковање
209,baǧimal,adv mod,,наводно
210,bagovo,n m,-urja/-os-,1. табак 2. дуван за жвакање
211,bagrino,n m,-urja/-os-,јавор
212,baj,n f,-a/-a-,рукав
213,bajari,n m,-ja/-es-,амулет
214,bajero,n m,-urja/-os-,амулет
215,bajňa,n f,-e/-a-,купатило
216,bajo,n m,-urja/-os-,"брига, проблем, несреча"
217,bajořî,n f,-ja/-ja,рукав (деминутив)
218,bajuco,n m,-urja/-os-,мали догадај
219,baka,n f,-e/-a-,"залисци, зулуфи"
220,bakalara,n f,-e/-a-,бакалар
221,bakalav,n m,-a/-es-,бакалар
222,bakrano,adj m,,овчији [«bakrano mas» - овчетина]
223,bakrano mas,n phr m,-a/-es-,овчетина
224,bakŕari,n m,-ja/-es-,"пастир, овчар"
225,bakrenďi livezîn,n phr f,-a/-a-,испаша (за овце)
226,bakri,n f,-ja/-ja,овца
227,bakriśo,n m,-e/-es-,јагње
228,bakrišo,n m,-e/-es-,јагње
229,bakriśořo,n m,-e/-es-,1. јагњешце 2. јаре
230,bakrišořo,n m,-e/-es-,1. јагњешце 2. јаре
231,bakro,n m,-e/-es-,ован
232,bakŕoři,n f,-ja/-ja,1. овчица 2. пупољак врбине маце 3. завртањ лептирњак у тамбурину
233,bakŕořî,n f,-ja/-ja,1. овчица 2. пупољак врбине маце 3. завртањ лептирњак у тамбурину
234,bakrořo,n m,-e/-es-,овчица
235,bakšišo,n m,-urja/-es-,bakšiš
236,bal,n m,-a/-es-,1. струна 2. жица
237,bala,n f,-i/-a-,болест
238,balaj,n f,-a/-a-,"корито, валов"
239,balaja,n f,-i/-a-,"корито, валов"
240,balajari,n m,-ja/-es-,коритар
241,balajořî,n f,-a/-a-,кориташце
242,balalajka,n f,-e/-a-,балалајка
243,balalo,adj m,,"длакав, космат"
244,balamo,n m,-urja/-os-,"дућан, радња"
245,balamořo,n m,-urja/-os-,трговина
246,balano,adj m,,свињски
247,baľari,n m,-ja/-es-,свињар
248,balaslo,adj m,,"длакав, космат"
249,balco,n m,-urja/-os-,"1. дочитница,  маркер за обележавање места у књизи до којег смо стигли с читањем 2. спајалица за причвршћивање ободе"
250,balena,n f,-e/-a-,кит
251,balesko,adj m,,свињски
252,bali,n f,-ja/-ja,крмача
253,balikano,adj m,,свињски
254,baliśo,n m,-e/-es-,прасе
255,balkono,n m,-urja/-os-,балкон
256,balo,n m,-e/-es-,"свиња, вепар [«vêšesko balo» - дивљи вепар]"
257,balořo,n m,-e/-es-,1. млада свиња 2. заморче
258,balta,n f,-e/-a-,1. мочвара 2. локва
259,balticko,adj,,балтички
260,baltuca,n f,-e/-a-,"1. језерце 2. бара, локва"
261,balujimos,n m,-ata/-as-,непослушност
262,balval,n f,-ja/-ja,ветар [«del balval» - ветар дува]
263,balvaľako,adj m,,"од ветра, ветровит"
264,balvaldino,adj m,,1. нервно болестан 2. ментално болестан
265,balvalori,n f,-ja/-ja,1. поветарац 2. вихор
266,balvaľoři,n f,-ja/-ja,1. поветарац 2. вихор
267,balzamo,n m,-urja/-os-,"мелем, крема"
268,bamba,n f,-e/-a-,бомба
269,bamba,n f,-e/-a-,"1. семе, грах, пасуљ [«graškoski bamba» - грашак] [«bîršindeski bamba» - капља кише] 2. шибица"
270,bambica,n f,-i/-a-,мало семе
271,bambica,n f,-e/-a-,мала бомба
272,baňa,n f,-e/-a-,1. купање [«lel (e) baňa» - купати се] 2. туширање
273,banana,n f,-e/-a-,банана
274,banaticko,adj,,"из Баната, банатски"
275,banatosko,adj m,,"из Баната, банатски"
276,banďardo,adj m,,"савијен, искривљен"
277,banďarel,v tr,-d-/-d-,савијати
278,banďol,v itr,-il-/-il-,"савијати се, нагињати се"
279,bandžarel,v tr,-d-/-d-,савијати
280,bandźarimos,n m,-ata/-as-,кривина
281,bandžarimos,n m,-ata/-as-,"1. кривина, окука 2. окрет"
282,bandžimos,n m,-ata/-as-,окука
283,bandžol,v itr,-il-/-il-,"савијати се, нагињати се"
284,banǧarel,v tr,-d-/-d-,савијати
285,banges,adv qual,,криво
286,bangês,adv qual,,криво
287,bangimos,n m,-ata/-as-,"1. средства 2. накнада 3. неискреност, поквареност"
288,bango,adj m,,"1. искривљен, крив 2. скраћен"
289,banǧol,v itr,-il-/-il-,"савијати се, нагињати се"
290,banica,n f,-e/-a-,"мерач, посуда за мерење"
291,banka,n f,-e/-a-,банка
292,bankiri,n m,-ja/-es-,банкар
293,banko,n m,-urja/-os-,банка
294,bar,n f,-a/-a-,"1. врт 2. живица 3. ограда, граница 4. двориште"
295,bař,n m,-a/-ês-,1. камен 2. туча
296,barako,n m,-urja/-os-,"барака, колиба, кућица"
297,bařalo,adj m,,"камени, каменит"
298,baranko,n m,-urja/-os-,чајни колачић
299,baŕardo,adj m,,васпитан
300,baŕarel,v tr,-d-/-d-,1. повећати 2. подизати (дете) 3. претеривати
301,bařari,n m,-ja/-es-,каменорезац
302,barba,n f,-e/-a-,брада
303,barbijari,n m,-ja/-es-,бријач
304,barboso,adj,,брадат
305,barda,n f,-e/-a-,секира
306,bare papur,n phr m pl,,прародитељи
307,barem,adv mod,,барем
308,barêm,adv mod,,барем
309,bares,adv qual,,већином
310,barês,adv qual,,већином
311,Bari Paraštuji,n phr f,-a/-a-,Велики петак
312,barikano,adj m,,1. величанствен 2. поносан
313,barilo,adj m,,одрастао
314,barimata,n m pl,,"ароганција, дрскост, надменост [«kerel barimata» - хвастати се]"
315,barimatango,adj m,,"поносан, горд"
316,barimos,n m,-ata/-as-,"1. достојанство 2. понос, охолост [«kerel barimos» - хвастати се]"
317,barisarel,v tr,-d-/-ime,"кључати, кувати"
318,baro,adj m,,"1. велики 2. моћан, угледан 3. старији"
319,baro,n m,-e/-es-,1. шеф 2. генерал
320,baro phurimos,n phr m,-ata/-as-,"старост, дубока старост"
321,baro slovo,n m,-urja/-os-,велико слово
322,baŕol,v itr,-il-/-il-,"одрасти, постати велик, расти"
323,bařome,adj,,"окамењен, скамењен"
324,baŕořî,n f,-a/-a-,1. баштица 2. мало двориште 3. оградица
325,bařořo,n m,-e/-es-,каменчић
326,bařosavel,v itr,-d-/-d-,каменити се
327,bařuno,adj m,,"камени, од камена"
328,barvajvol,v itr,-il-/-il-,"постајати богат, богатити се"
329,barval,n f,-ja/-ja,ветар
330,barvalimos,n m,-ata/-as-,богатство
331,barvalipe,n m,,богатство
332,barvalo,adj m,,"богат, имућан"
333,barvaľoři,n f,-a/-a-,1. поветарац 2. вихор
334,barvardo,adj m,,обогаћен
335,barvarel,v tr,-d-/-d-,обогаћивати
336,barvavol,v itr,-ajl-/-ajl-,"постајати богат, богатити се"
337,barza,n f,-e/-a-,рода
338,baš,adv mod,,"управо, баш"
339,bašadi,n f,-ja/-ja,музички инструмент
340,bašado,n m,-e/-es-,"1. сат, ура 2. ручни сат"
341,bašalel,v tr,-d-/-d-,свирати
342,bašalimos,n m,-ata/-as-,музика
343,bašavel,v tr,-d-/-d-,чинити да пуца
344,bašêl,v itr,-l-/-l-,1. лајати 2. пуцати
345,bašimos,n m,-ata/-as-,1. бука 2. лајање
346,bašliko,n m,-urja/-os-,1. капуљача 2. маска
347,bašno,n m,-e/-es-,"кокот, пиетао"
348,bašta,n f,-e/-a-,"башта, врт"
349,baštovano,n f,-urja/-os-,баштован
350,bata,n f,-e/-a-,палица
351,baterija,n f,-e/-a-,батерија
352,bax,n f,-ja/-ja,срећа
353,baxt,n f,-ja/-ja,срећа
354,baxtales,adv mod,,1. сретно 2. срећом
355,baxtalo,adj m,,срећан
356,baxťarel,v tr,-d-/-d-,1. усрећивати 2. обогаћивати
357,baxtavel,v itr,-d-/-d-,имати среће
358,bazari,n m,-ja/-es-,бувља пијаца
359,bazarici,n m,-a/-es-,"пијаца, тржница"
360,bazga,n f,-e/-a-,"смола, пех"
361,bêbêŕasa,n f,-e/-a-,женски полни орган
362,bebereško,n m,-urja/-os-,бубрег
363,bebernica,n f,-e/-a-,бријачница
364,bebeto,n m,-urja/-os-,беба
365,Beči,n m,-ja/-es-,Аустрија
366,beda,n f,-i/-a-,"несрећа, оптужба"
367,bedanžîvo,adj,,"неваљао, непослушан"
368,bêgêvo,n m,-urja/-os-,дуван
369,bejaš,n m,-a/-es-,Бејаш (Роми)
370,bejato,n m,-urja/-os-,"дете, дечак"
371,bêjato,n m,-urja/-os-,"дете, дечак"
372,bêkêtura,n f,-e/-a-,"гриз, залогај"
373,beľava,n f,-i/-a-,1. силеџија 2. урнебес 3. несрећа
374,bêlêčala,n f,-i/-a-,ретка супа
375,bêlêčala,adj,,"мутан, блатњав"
376,bêlênkêrêvo,n m,-urja/-os-,"простак, силеџија"
377,belgiano,n m,-urja/-os-,Белгијанац
378,Belgija,n f,-e/-a-,Белгија
379,beli,n f,-ja/-ja,колац
380,beliš,n f,-a/-a-,постава
381,belka,n f,-i/-a-,веверица
382,belžikajka,n f,-e/-a-,Белгијанка
383,belžikana,n f,-e/-a-,Белгијанка
384,belžikanisko,adj,,белгијски
385,belžikano,n m,-urja/-os-,Белгијанац
386,Belžiko,n m,-urja/-os-,Белгија
387,benďalo,adj m,,1. ђаволски 2. епилептичан
388,benďarel,v tr,-d-/-d-,"1. натеравати да луди, љутити 2. нешто јако добро правити"
389,benďavol,v itr,-ajl-/-ajl-,1. бити обузет ђавом 2. лудети 3. примати (епилептични) наступ
390,bêndêreco,adj,,"неприличан, непригодан"
391,bendžajlo,n m,-e/-es-,опседнут
392,bendžajvol,v itr,-ajl-/-ajl-,1. бити обузет ђавом 2. лудети 3. пирмати (епилептични) наступ
393,bendžavol,v itr,-ajl-/-ajl-,1. бити обузет ђавом 2. лудети 3. пирмати (епилептични) наступ
394,beng,n m,-a/-as-,"враг, ђаво"
395,bengajlo,adj m,,1. ђаволски 2. епилептичан
396,bengajvel,v itr,-ajl-/-ajl-,"постајати враг, постајати ђаво"
397,bengalo,adj m,,1. ђаволски 2. ђаволски
398,bengavol,v itr,-ajl-/-ajl-,1. бити обузет ђавом 2. лудети 3. пирмати (епилептични) наступ
399,bengesko,adj m,,ђаволски
400,bengêsko,adj m,,ђаволски
401,čačardo,adj m,,1. оправдан 2. исправан
402,čačarel,v tr/itr,-d-/-d-,"1. оправдавати 2. исправљати (грешку) 3. имати исто мишљење, мислити да неко је у праву 4. пслобађати, пуштати испод суђења"
403,čačarel pe,v itr,-d-/-d-,оправдавати се
404,čačes,adv mod,,"1. тачно, стварно, заиста 2. право"
405,čačikano,adj m,,1. правичан 2. поштен
406,čačimasko,adj m,,"поштен, искрен"
407,čačimos,n m,-ata/-as-,истина
