Index,Entry Word,Part of Speech,Affix,Definition
1,aba,adv temp,,schon
2,aba,conj,,"aber, jedoch"
3,abav,n m,-a/-a-,1. Hochzeit 2. Fest
4,abďol,v itr,-il-/-il-,"leuchten, glänzen"
5,abhav,n m,-a/-es-,Mangel
6,abortusi,n m,-a/-es-,Abtreibung
7,abrazolil,v tr,-nd-/-nd-,"simulieren, abbilden"
8,absolutno,adv qual,,absolut
9,absolvindo,n m,-e/-es-,Absolvent
10,abudento,adj m,,reichlich
11,abzal,v tr,-d-/-d-,"1. berühren 2. verletzen, schaden"
12,adago,n m,-ura/-os-,Dosis
13,adaptacija,n f,-i/-ja-,Anpassung
14,adatura,n f,-ura/—,Daten
15,adebor,adj indef,,"1. so groß 2. so viel, so viele"
16,aďes,adv temp,,heute
17,aďes raťine,adv phr temp,,heute Abend
18,aďesartul,adv temp,,von heute an
19,aďesunto,adj m,,heutiger
20,aďesutno,adj m,,heutiger
21,adig,adv loc,,so weit wie
22,adig,adv temp,,so lange wie
23,adig….meg,prep,,solange bis
24,adoptalil,v tr/itr,-ind-/-in-,adoptieren
25,adoptalipe,n m,—/-es-,Adoption
26,aďuvo,n m,-ura/-os-,Kanone
27,aďvin,n m,—/-es-,Honig
28,aďvinale kurke,n phr m,,Flitterwochen
29,aďvinali mol,n phr m,,Honigwein
30,aeroplanengo čor,n phr m,,Flugzeugentführer
31,aeroplano,n m,-ura/-os-,Flugzeug
32,aeroporto,n m,-ura/-os-,Flughafen
33,afoňa,n f,-i/-a-,Blaubeere
34,aftonpeko,adj m,,"rein, pur"
35,aga,n f,-i/-a-,"Ast, Zweig"
36,agin,n m,—/-es-,Honig
37,agor,n m,—/-es-,"Rand, Ende"
38,agoruno,adj m,,"1. Außen- 2. letzter [«agoruno kher» - letztes Haus im Dorf,  Haus am Dorfende]"
39,ahor,n f,-i/-a-,Preis
40,aj ke,interj,,"Schau!, Sieh da!"
41,ajandeki,n m,-a/-es-,Vergnügen
42,ajandiko,n m,-ura/-os-,Geschenk
43,ajanlato,n m,-ura/-os-,Angebot
44,ajanlij,v tr,-nd-/-ime,empfehlen
45,ajivend,adv temp,,letzten Winter
46,ajkam,conj,,"allenfalls, jedoch, nichtsdestotrotz"
47,ajulij,v itr,-nd-/-ime,in Ohnmacht fallen
48,akak,adv temp,,jetzt
49,akana,adv temp,,jetzt
50,akana,part narr,,"1. jetzt, nun 2. dann"
51,akanak,adv temp,,jetzt
52,akanik,adv temp,,jetzt
53,akarato,n m,—/-os-,Wille
54,akarkaj,n m,—/-os-,irgendwohin
55,akarkana,adv temp,,jederzeit
56,akarkhatar,n m,—/-os-,"von irgendwo, irgendwoher"
57,akarkon,pron indef,,"1. irgendjemand, irgendwer 2. wer auch immer"
58,akarsar,adv indef,,1. irgendwie 2. wie auch immer
59,akarsavo,pron pers 1 sg m,,welcher auch immer
60,akarso,pron indef,,"1. irgendwas, irgendetwas 2. was auch immer"
61,akastij,v tr/itr,-nd-/-ime,"hängen, aufhängen"
62,ake,interj,,"Schau!, Sieh da!"
63,akecij,v tr,-nd-/-ime,"1. hängen 2. aufhalten, hemmen, blockieren"
64,aketala,interj,,"Schau!, Sieh da!"
65,aketale,interj,,"Schau!, Sieh da!"
66,akharavel,v tr,-d-/-d-,"einladen, nach jem. schicken, rufen lassen"
67,akharel,v tr,-d-/-d-,"rufen, herbeirufen"
68,akharel avri,partv tr,-d-/-d-,"ausrufen, nach draußen rufen"
69,akharimo,n m,-imata/-as-,Einladung
70,Akhiles-ino,n m,-a/-os-,Achillessehne
71,akhor,n m,-a/-es-,"Nuss, Walnuss [«akhorengo kašt» - Nussbaum, Walnussbaum]"
72,akhorako kokalo,n phr m,-a/-es-,Nussschale
73,akhoralo,adj m,,"Nuss-, aus Nuss"
74,akhorengo kašt,n phr m,-a/-es-,"Nussbaum, Walnussbaum"
75,akhorin,n f,-a/-a-,"Nussbaum, Walnussbaum"
76,aknavo,n m,-e/-es-,Trettmine
77,akor,adv temp,,"dann, damals"
78,akothe,adv loc,,hier
79,alačoňo,adj,,"niedrig, niederer"
80,alapoto,n m,-a/-os-,Umstand
81,alato,n m,-ura/-os-,Tier
82,alav,n m,-a/-es-,Wort
83,alavar,n m,-a/-es-,Wörterbuch
84,aldaši,n m,-a/-es-,Segen
85,aldij,v tr,-nd-/-ime,segnen
86,aldil,v tr,-nd-/-ime,segnen
87,aldozato,n m,-a/-es-,Opfer
88,aldozij,v tr,-nd-/-ime,1. opfern 2. Kommunion empfangen
89,ale,conj,,"dann, darauf, danach"
90,alergija,n m,-i/-ja-,Allergie
91,alergijalo,adj m,,allergisch
92,alfabetuno rindo,n phr m,,"Auflistung, Index"
93,alitolag,adv qual,,angeblich
94,alkalmo,n m,-ura/-os-,Gelegenheit
95,alkoholizmusho,n m,—/-es-,Alkoholismus
96,alkoholo,n m,-ura/-os-,Alkohol
97,Allah,n m,—/-es-,Allah
98,aloj,v tr,-nd-/-ome,"wählen, aussuchen"
99,alomaši,n m,-a/-os-,Bahnstation
100,alosarel,v tr,-d-/-d-,"wählen, aussuchen"
101,altari,n m,-a/-os-,Altar
102,alvadinel,v itr,-nd-/-nd-,gerinnen
103,am,part narr,,"gut, dann, aber"
104,amal,n m,-a/-es-,Freund
105,amalaslo,adj,,freundlich
106,amalica,n f,-i/-a-,Freundin
107,amalimo,n m,-imata/-as-,Freundschaft
108,amalin,n f,-a/-a-,Freundin
109,amalni,n f,-a/-a-,Freundin
110,amaro,pron poss 1 sg m,,unser
111,amblal,n m,-a/-es-,"Holzscheit (brennend, glühend)"
112,amborim,adv mod,,vielleicht
113,ambrol,n m,-a/-es-,Birne [«ambrolengo kašt» - Birnbaum]
114,ambrolin,n f,-a/-a-,Birnbaum
115,ame,pron pers 1 pl,,wir
116,ame,conj,,"aber, jedoch"
117,amen,pron pers 1 pl,,wir
118,amilaj,adv temp,,letzter Sommer
119,amiota,adv temp,,seit
120,aňagi,n m,-a/-es-,Susbtanz
121,aňago,n m,-ura/-os-,Material
122,ananaso,n m,-ura/-os-,Ananas
123,anav,n m,-a/-es-,Name
124,anavel,v tr,-d-/-d-,"bringen lassen, bestellen"
125,anda,prep,,"1. von, aus [«andar o foro avilem» - ich komme aus der Stadt] 2. wegen, aufgrund [«anda čoripe» - der Armut wegen, aufgrund der Armut]"
126,anda khanči,adv mod,,grundlos
127,anda kodo,adv mod,,deshalb
128,andal muj phenel,v phr itr,-d-/-d-,sprechen
129,ande,prep,,"1. in, im, innerhalb (von) 2. in (direktional)"
130,ande,part vb,,"Verbalpartikel basierend auf dem Adverb 'ande' [«bišavel ande» - hineinschicken, ins Haus schicken]"
131,ande,adv loc,,"1. innen, drinnen, innerhalb 2. hinein (direktional)"
132,ande fojašol,v,-ind-/-in-,beeinflussen
133,ande fojašolipe,n phr m,,Einfluss
134,ande kinipe,n,,Einkauf
135,ande pašjavipe,n m,,Investition
136,ande phandel,partv tr,-l-/-l-,verbinden
137,ande sikavel,partv tr,-d-/-d-,beweisen
138,ande tradipe,n phr m,,Einleitung
139,ande trefabul,adv mod,,"aus Spaß, zum Spaß, spaßweise"
140,andel sastra,adv mod,,in Handschellen
141,anďelo,n m,-ura/-os-,Engel
142,andi bari luma,adv mod,,auf der ganzen Welt
143,ando centrumo,adv phr mod,,in die Mitte
144,andral,adv loc,,"von drinnen, von innen heraus"
145,andre,part vb,,Verbalpartikel basierend auf dem Adverb 'andre' [«perel andre» - hineinfallen]
