Index,Entry Word,Part of Speech,Affix,Definition
1,aba,conj,,"but, however"
2,aba,adv temp,,already
3,abav,n m,-a/-a-,"1. wedding, marriage 2. festivity"
4,abďol,v itr,-il-/-il-,shine
5,abhav,n m,-a/-es-,deprivasion
6,abortusi,n m,-a/-es-,abortion
7,abrazolil,v tr,-nd-/-nd-,model
8,absolutno,adv qual,,absolutely
9,absolvindo,n m,-e/-es-,graduate
10,abudento,adj m,,abudant
11,abzal,v tr,-d-/-d-,"1. touch 2. hurt, harm"
12,adago,n m,-ura/-os-,dose
13,adaptacija,n f,-i/-ja-,adjustment
14,adatura,n f,-ura/—,data
15,adebor,adj indef,,"1. so big 2. so much, so many"
16,aďes,adv temp,,today
17,aďes raťine,adv phr temp,,this evening
18,aďesartul,adv temp,,from today on
19,aďesunto,adj m,,"present, current, today's"
20,aďesutno,adj m,,"present, current, today's"
21,adig,adv loc,,as far as
22,adig,adv temp,,as long as
23,adig….meg,prep,,as long as
24,adoptalil,v tr/itr,-ind-/-in-,adopt
25,adoptalipe,n m,—/-es-,adoption
26,aďuvo,n m,-ura/-os-,cannon
27,aďvin,n m,—/-es-,honey
28,aďvinale kurke,n phr m,,honeymoon
29,aďvinali mol,n phr m,,mead
30,aeroplanengo čor,n phr m,,skyjacker
31,aeroplano,n m,-ura/-os-,airplane
32,aeroporto,n m,-ura/-os-,airport
33,afoňa,n f,-i/-a-,blueberry
34,aftonpeko,adj m,,pure
35,aga,n f,-i/-a-,"bough, branch"
36,agin,n m,—/-es-,honey
37,agor,n m,—/-es-,"edge, end"
38,agoruno,adj m,,"1. external 2. last, final [«agoruno kher» - last house of the village,  house at the end of the village]"
39,ahor,n f,-i/-a-,price
40,aj ke,interj,,Look!
41,ajandeki,n m,-a/-es-,treat
42,ajandiko,n m,-ura/-os-,"gift, present"
43,ajanlato,n m,-ura/-os-,offer
44,ajanlij,v tr,-nd-/-ime,recommend
45,ajivend,adv temp,,last winter
46,ajkam,conj,,"at best, however, nontheless"
47,ajulij,v itr,-nd-/-ime,faint
48,akak,adv temp,,now
49,akana,part narr,,1. now 2. then
50,akana,adv temp,,now
51,akanak,adv temp,,now
52,akanik,adv temp,,now
53,akarato,n m,—/-os-,will
54,akarkaj,n m,—/-os-,anywhere
55,akarkana,adv temp,,any time
56,akarkhatar,n m,—/-os-,from somewhere
57,akarkon,pron indef,,"1. someone, anyone 2. whoever"
58,akarsar,adv indef,,"1. somehow, anyhow 2. however, no matter how"
59,akarsavo,pron pers 1 sg m,,whichever
60,akarso,pron indef,,1. anything 2. whatever
61,akastij,v tr/itr,-nd-/-ime,"hang, hang up"
62,ake,interj,,Look!
63,akecij,v tr,-nd-/-ime,"1. hang, suspend 2. stop, block, obstruct"
64,aketala,interj,,Look!
65,aketale,interj,,Look!
66,akharavel,v tr,-d-/-d-,"invite, send for so."
67,akharel,v tr,-d-/-d-,"call, summon"
68,akharel avri,partv tr,-d-/-d-,"call out, call so. (who is outside)"
69,akharimo,n m,-imata/-as-,invitation
70,Akhiles-ino,n m,-a/-os-,achilles tendon
71,akhor,n m,-a/-es-,"nut, walnut [«akhorengo kašt» - nut tree, walnut tree]"
72,akhorako kokalo,n phr m,-a/-es-,nutshell
73,akhoralo,adj m,,"nut-, of nut"
74,akhorengo kašt,n phr m,-a/-es-,"nut tree, walnut tree"
75,akhorin,n f,-a/-a-,"nut tree, walnut tree"
76,aknavo,n m,-e/-es-,mine
77,akor,adv temp,,then
78,akothe,adv loc,,here
79,alačoňo,adj,,low
80,alapoto,n m,-a/-os-,circumstance
81,alato,n m,-ura/-os-,animal
82,alav,n m,-a/-es-,word
83,alavar,n m,-a/-es-,dictionary
84,aldaši,n m,-a/-es-,blessing
85,aldij,v tr,-nd-/-ime,bless
86,aldil,v tr,-nd-/-ime,bless
87,aldozato,n m,-a/-es-,victim
88,aldozij,v tr,-nd-/-ime,"1. sacrifice 2. receive Holy Communion, commune"
89,ale,conj,,"after that, afterwards, then"
90,alergija,n m,-i/-ja-,allergy
91,alergijalo,adj m,,allergic
92,alfabetuno rindo,n phr m,,index
93,alitolag,adv qual,,"allegedly, supposedly"
94,alkalmo,n m,-ura/-os-,"opportunity, occasion"
95,alkoholizmusho,n m,—/-es-,alcoholism
96,alkoholo,n m,-ura/-os-,alcohol
97,Allah,n m,—/-es-,Allah
98,aloj,v tr,-nd-/-ome,"choose, select"
99,alomaši,n m,-a/-os-,"railway station, station"
100,alosarel,v tr,-d-/-d-,"choose, select"
101,altari,n m,-a/-os-,altar
102,alvadinel,v itr,-nd-/-nd-,coagulate
103,am,part narr,,"well, then, but"
104,amal,n m,-a/-es-,friend
105,amalaslo,adj,,friendly
106,amalica,n f,-i/-a-,"friend, girlfriend"
107,amalimo,n m,-imata/-as-,friendship
108,amalin,n f,-a/-a-,"friend, girlfriend"
109,amalni,n f,-a/-a-,"friend, girlfriend"
110,amaro,pron poss 1 sg m,,our
111,amblal,n m,-a/-es-,"piece of wood, log"
112,amborim,adv mod,,"perhaps, maybe"
113,ambrol,n m,-a/-es-,pear [«ambrolengo kašt» - pear tree]
114,ambrolin,n f,-a/-a-,pear tree
115,ame,pron pers 1 pl,,we
116,ame,conj,,"but, however"
117,amen,pron pers 1 pl,,we
118,amilaj,adv temp,,last summer
119,amiota,adv temp,,since
120,aňagi,n m,-a/-es-,substance
121,aňago,n m,-ura/-os-,material
122,ananaso,n m,-ura/-os-,pineapple
123,anav,n m,-a/-es-,name
124,anavel,v tr,-d-/-d-,"let bring, order"
125,anda,prep,,"1. from [«andar o foro avilem» - I'm coming from the town] 2. because of, due to [«anda čoripe» - due to poverty]"
126,anda khanči,adv mod,,for no reason
127,anda kodo,adv mod,,therefore
128,andal muj phenel,v phr itr,-d-/-d-,speak
129,ande,adv loc,,"1. inside (local) 2. in, inside"
130,ande,part vb,,verbal particle based on the adverb 'ande' [«bišavel ande» - to send sb. into the house]
131,ande,prep,,"1. in, inside, within 2. into (directional)"
132,ande fojašol,v,-ind-/-in-,influence
133,ande fojašolipe,n phr m,,influence
134,ande kinipe,n,,shopping
135,ande pašjavipe,n m,,investment
136,ande phandel,partv tr,-l-/-l-,bandage
137,ande sikavel,partv tr,-d-/-d-,prove
138,ande tradipe,n phr m,,introduction
139,ande trefabul,adv mod,,for fun
140,andel sastra,adv mod,,in handcuffs
141,anďelo,n m,-ura/-os-,angel
142,andi bari luma,adv mod,,all over the world
143,ando centrumo,adv phr mod,,in the middle
144,andral,adv loc,,from inside
145,andre,adv loc,,"1. inside (local) 2. in, inside"
146,andre,part vb,,verbal particle based on the adverb 'andre' [«perel andre» - to fall into]
147,andre pizdiňipe,n phr m,,impression
148,andrunime,n m,-e/-os-,intestines
149,andruno tero,n m,,inside
150,andrutno,adj m,,"internal, interior"
151,anel,v tr,-d-/-d-,"bring, fetch"
152,angaji,n f,-a/-a-,"1. lap 2. embrace, hug"
153,angali,n f,-ja/-ja-,"1. lap 2. embrace, hug [«del angali» - to embrace, to hug] [«angalidel» - to embrace, to hug]"
154,angaľi,n f,-a/-a-,"1. lap 2. embrace, hug"
155,angalidel,v tr,-∅-/-in-,"embrace, hug"
156,angar,n m,-a/-es-,coal
157,angaruno,adj m,,"coal-, of coal"
158,angla,prep,,1. in front of 2. before
159,angla kodo,adv temp,,"before, previously, ago [«duj berš angla kodo» - two years ago]"
160,anglal,adv temp,,"first, before, previously"
161,anglal,adv loc,,1. at the front 2. ahead
162,anglal dipe,n phr m,,introduction
163,anglamismeri,n m,-a/-es-,morning
164,anglamismeri,adv temp,,in the morning
165,angle,part vb,,"verbal particle based on the adverb 'angle' [«avel angle» - to come forward, to appear]"
166,angle,adv loc,,1. at the front 2. foward
167,anglunes,adv mod,,"previously, before, first"
168,angluni data,adv mod,,"first time, for the first time"
169,anglunimo,n m,-imata/-as-,"start, beginning"
