Index,Entry Word,Part of Speech,Affix,Definition
1,aba,conj,,de
2,aba,adv temp,,már
3,abav,n m,-a/-a-,1. esküvő 2. lakodalom
4,abďol,v itr,-il-/-il-,fénylik
5,abhav,n m,-a/-es-,hiány
6,abortusi,n m,-a/-es-,magzatelhajtás
7,abrazolil,v tr,-nd-/-nd-,ábrázol
8,absolutno,adv qual,,abszolút
9,absolvindo,n m,-e/-es-,egyetemet
10,abudento,adj m,,böséges
11,abzal,v tr,-d-/-d-,megérint
12,adago,n m,-ura/-os-,adag
13,adaptacija,n f,-i/-ja-,alkalmazkodás
14,adatura,n f,-ura/—,adatok
15,adebor,adj indef,,akkora
16,aďes,adv temp,,ma
17,aďes raťine,adv phr temp,,amíg
18,aďesartul,adv temp,,mától kezdve
19,aďesunto,adj m,,mai
20,aďesutno,adj m,,mai
21,adig,adv temp,,addig
22,adig,adv loc,,addig
23,adig….meg,prep,,addig amíg
24,adoptalil,v tr/itr,-ind-/-in-,adoptál
25,adoptalipe,n m,—/-es-,örökbefogadás
26,aďuvo,n m,-ura/-os-,ágyú
27,aďvin,n m,—/-es-,méz
28,aďvinale kurke,n phr m,,mézes hetek
29,aďvinali mol,n phr m,,mézbor
30,aeroplanengo čor,n phr m,,gépeltérítő
31,aeroplano,n m,-ura/-os-,repülőgép
32,aeroporto,n m,-ura/-os-,repülőtér
33,afoňa,n f,-i/-a-,áfonya
34,aftonpeko,adj m,,tiszta
35,aga,n f,-i/-a-,ág
36,agin,n m,—/-es-,méz
37,agor,n m,—/-es-,"vég, szél"
38,agoruno,adj m,,szélső [«agoruno kher» - a szélső ház]
39,ahor,n f,-i/-a-,ár
40,aj ke,interj,,"Lám!, Íme!, Itt van!, Nicsak!"
41,ajandeki,n m,-a/-es-,ajándék
42,ajandiko,n m,-ura/-os-,ajándék
43,ajanlato,n m,-ura/-os-,ajánlat
44,ajanlij,v tr,-nd-/-ime,ajánl
45,ajivend,adv temp,,tavaly télen
46,ajkam,conj,,"azonban, legfeljebb"
47,ajulij,v itr,-nd-/-ime,elájul
48,akak,adv temp,,most
49,akana,part narr,,ekkor
50,akana,adv temp,,most
51,akanak,adv temp,,most
52,akanik,adv temp,,most
53,akarato,n m,—/-os-,akarat
54,akarkaj,n m,—/-os-,akárhova
55,akarkana,adv temp,,akármikor
56,akarkhatar,n m,—/-os-,akárhonnan
57,akarkon,pron indef,,"bárki, valaki"
58,akarsar,adv indef,,akárhogy
59,akarsavo,pron pers 1 sg m,,akármelyik
60,akarso,pron indef,,1. valami 2. akármi
61,akastij,v tr/itr,-nd-/-ime,akaszt
62,ake,interj,,"Lám!, Íme!, Itt van!"
63,akecij,v tr,-nd-/-ime,1. akaszt 2. megakaszt
64,aketala,interj,,"Lám!, Íme!, Itt van!"
65,aketale,interj,,"Lám!, Íme!, Itt van!"
66,akharavel,v tr,-d-/-d-,meghívat
67,akharel,v tr,-d-/-d-,hív
68,akharel avri,partv tr,-d-/-d-,kihív
69,akharimo,n m,-imata/-as-,"meghívás, berakás"
70,Akhiles-ino,n m,-a/-os-,Achilles-ín
71,akhor,n m,-a/-es-,dió [«akhorengo kašt» - diófa]
72,akhorako kokalo,n phr m,-a/-es-,dióhéj
73,akhoralo,adj m,,dió
74,akhorengo kašt,n phr m,-a/-es-,diófa
75,akhorin,n f,-a/-a-,diófa
76,aknavo,n m,-e/-es-,akna
77,akor,adv temp,,akkor
78,akothe,adv loc,,itt
79,alačoňo,adj,,alacsony
80,alapoto,n m,-a/-os-,állapot
81,alato,n m,-ura/-os-,állat
82,alav,n m,-a/-es-,szó
83,alavar,n m,-a/-es-,szótár
84,aldaši,n m,-a/-es-,áldás
85,aldij,v tr,-nd-/-ime,megáld
86,aldil,v tr,-nd-/-ime,megáld
87,aldozato,n m,-a/-es-,áldozat
88,aldozij,v tr,-nd-/-ime,áldozik
89,ale,conj,,azután
90,alergija,n m,-i/-ja-,allergia
91,alergijalo,adj m,,allergiás
92,alfabetuno rindo,n phr m,,ábécésorrend
93,alitolag,adv qual,,állítólag
94,alkalmo,n m,-ura/-os-,alkalom
95,alkoholizmusho,n m,—/-es-,részegség
96,alkoholo,n m,-ura/-os-,alkohol
97,Allah,n m,—/-es-,Allah
98,aloj,v tr,-nd-/-ome,választ
99,alomaši,n m,-a/-os-,állomás
100,alosarel,v tr,-d-/-d-,választ
101,altari,n m,-a/-os-,oltár
102,alvadinel,v itr,-nd-/-nd-,megalvad
103,am,part narr,,ám
104,amal,n m,-a/-es-,barát
105,amalaslo,adj,,kedves
106,amalica,n f,-i/-a-,barátnő
107,amalimo,n m,-imata/-as-,barátság
108,amalin,n f,-a/-a-,barátnő
109,amalni,n f,-a/-a-,barátnő
110,amaro,pron poss 1 sg m,,mienk
111,amblal,n m,-a/-es-,"égő, izzó hasáb"
112,amborim,adv mod,,talán
113,ambrol,n m,-a/-es-,körte [«ambrolengo kašt» - körtefa]
114,ambrolin,n f,-a/-a-,körtefa
115,ame,pron pers 1 pl,,mi
116,ame,conj,,"azonban, de, ám"
117,amen,pron pers 1 pl,,mi
118,amilaj,adv temp,,múlt nyáron
119,amiota,adv temp,,amióta
120,aňagi,n m,-a/-es-,anyag
121,aňago,n m,-ura/-os-,anyag
122,ananaso,n m,-ura/-os-,ananász
123,anav,n m,-a/-es-,név
124,anavel,v tr,-d-/-d-,"hozat, rendel"
125,anda,prep,,"1. -ból, -ből 2. miatt"
126,anda khanči,adv mod,,"feneketlen, alaptalan"
127,anda kodo,adv mod,,azért
128,andal muj phenel,v phr itr,-d-/-d-,mond
129,ande,prep,,"1. -ban, -ben 2. -ba, -be"
130,ande,part vb,,be-
131,ande,adv loc,,"bent, be"
132,ande fojašol,v,-ind-/-in-,befolyásol
133,ande fojašolipe,n phr m,,befolyás
134,ande kinipe,n,,bevásárlás
135,ande pašjavipe,n m,,befektetés
136,ande phandel,partv tr,-l-/-l-,egybeköt
137,ande sikavel,partv tr,-d-/-d-,bebizonyít
138,ande tradipe,n phr m,,bevezetés
139,ande trefabul,adv mod,,tréfaból
140,andel sastra,adv mod,,bilincsben
141,anďelo,n m,-ura/-os-,angyal
142,andi bari luma,adv mod,,"a nagyvilágba, széles e világon"
143,ando centrumo,adv phr mod,,közepére
144,andral,adv loc,,belülről
145,andre,part vb,,be-
146,andre,adv loc,,"bent, be"
147,andre pizdiňipe,n phr m,,benyomás
148,andrunime,n m,-e/-os-,belsőségek
149,andruno tero,n m,,belső
150,andrutno,adj m,,belső
151,anel,v tr,-d-/-d-,hoz
152,angaji,n f,-a/-a-,öl
153,angali,n f,-ja/-ja-,öl [«del angali» - átölel] [«angalidel» - megölel]
154,angaľi,n f,-a/-a-,öl
155,angalidel,v tr,-∅-/-in-,megölel
156,angar,n m,-a/-es-,szén
157,angaruno,adj m,,szén-
158,angla,prep,,előtt
159,angla kodo,adv temp,,azelőtt [«duj berš angla kodo» - két éve]
160,anglal,adv temp,,elöl
161,anglal,adv loc,,elöl
162,anglal dipe,n phr m,,előadás
163,anglamismeri,n m,-a/-es-,délelőtt
164,anglamismeri,adv temp,,délelőttönként
165,angle,adv loc,,elöl
166,angle,part vb,,elő-
167,anglunes,adv mod,,"előbb, először"
168,angluni data,adv mod,,először
169,anglunimo,n m,-imata/-as-,kezdet
170,angluno,adj m,,"első, elülső [«angluno punro» - első láb]"
171,angluno,num ord,,első
172,angluno kotor,n phr m,,eleje
173,angluno punro,n phr m,-e/-es-,első láb
174,angluno somno,n phr m,,előjel
175,angluno thud,n phr m,,előtej
176,angolna,n f,-i/-a-,angolna
177,angruno,adj m,,"első, elülső"
178,angrusťako naj,n phr m,-a/-es-,gyűrűsujj
179,angrusťi,n f,-a/-a-,gyűrű
180,angrušťi,n f,-a/-a-,gyűrű
181,aňira,adj indef,,"annyira, odáig"
182,anralo parnipe,n phr m,,tojásfehérje
183,anřesko galbeno,n phr m,—/-os-,tojássárgája
184,anro,n m,-e/-es-,tojás [«anro kerel» - tojik] [«anro xinel» - tojik]
185,anřo,n m,-e/-es-,tojás
