Index,Entry Word,Part of Speech,Affix,Definition
1,ačavimasko,adv mod,,ruhig
2,ačhavol,v tr,,jmd. anhalten
3,ačhipe,n m,,1. Stille 2. Ruhe
4,ačhol,v itr,,"stehen, bleiben, stehen bleiben"
5,ačhol pe,v itr,,sich beruhigen
6,aďe,adv temp,,heute
7,adresa,n f,,Adresse
8,advokato,n m,,"Anwalt, Rechtsanwalt"
9,aerodrom,n m,,Flughafen
10,agor ,n m,,1. Ende 2. Gebiet
11,agor planinako,n phr m,,Berggipfel
12,agorengo,adj,,Kohlen-
13,agrusňi,n f,,(Finger-)Ring
14,ajkula,n f,,Hai
15,ajmforto,n m,,Terasse
16,akana,adv temp,,"jetzt, sofort"
17,akharipe,n m,,"Ruf, Einladung"
18,akharol,v tr,,1. rufen 2. einladen 3. nennen
19,akharol,v itr,,heißen
20,akhor,n m,,"Nuss, Walnuss"
21,akhoresko,adj m,,Nuss-
22,akhoresko kaš,n phr m,,Nussbaum
23,ako,conj,,wenn
24,aktivnost,n m,,Tätigkeit
25,akto,n m,,Akte
26,alav,n m,,1. Wort 2. Name 3. Stimme
27,albumo,n m,,Album
28,amajlija,n f,,Amulett
29,amal,n m,,1. Freund 2. Nachbar 3. Besucher
30,amaro,pron poss 1 sg m,,unser
31,ambari,n m,,Scheune
32,ambrol,n m,,Birne
33,ambrolako kaš,n phr m,,Birnbaum
34,amen,pron pers 1 pl,,wir
35,ande aďesutni vŕama,adv phr temp,,heutzutage
36,ande bari mera,adv phr mod,,zum größten Teil
37,ande durimaski vŕama,adv phr temp,,"lange her, vor langer Zeit"
38,ande jokharimaste,adv phr mod,,"auf einmal, plötzlich"
39,ande mardi,adv phr temp,,"am Dienstag, dienstags"
40,ande maskarthemutni vŕama,adv phr temp,,"währenddessen, unterdessen"
41,ande tatraďi,adv phr temp,,"mittwochs, am Mittwoch"
42,ande tomna,adv phr temp,,im Herbst
43,anďelo,n m,,Engel
44,anďeo,n m,,Engel
45,ando,prep,,"in (… hinein), innerhalb von an, zu"
46,ando,adv loc,,1. herein 2. hinein
47,ando ivend,adv phr temp,,im Winter
48,ando kurko,adv phr temp,,"Sonntags, am Sonntag"
49,ando lujo,adv phr temp,,"am Montag, montags"
50,ando milaj,adv phr temp,,im Sommer
51,ando mismeri,adv phr temp,,"zu Mittag, mittags"
52,ando paraštuj,adv phr temp,,"am Freitag, freitags"
53,ando proleče,adv phr temp,,im Frühling
54,ando savato ,adv phr temp,,"am Samstag, samstags"
55,ando žoj,adv phr temp,,"am Donnerstag, donnerstags"
56,andral,adv loc,,"drinnen, von drinnen"
57,andral,prep,,innerhalb von
58,angar,n m,,Kohle
59,anglaj ŕat,n phr,,Abend
60,anglal,prep,,"vor (lok.), bevor"
61,anglal,adv loc,,1. voraus 2. oben
62,anglav,adv loc,,1. von draußen 2. vorn
63,anglav čer,adv phr loc,,1. aus dem Haus 2. von zu Hause
64,anglav milaj,n phr,,Frühling
65,anglav mismeri,n phr,,Vormittag
66,angro,n m,,1. Ei 2. Hode
67,anol,v tr,,"1. bringen 2. beitragen, mitarbeiten"
68,aprili,n m,,April
