Index,Entry Word,Part of Speech,Affix,Definition
1,ačavimasko,adv mod,,silently
2,ačhavol,v tr,,stop so.
3,ačhipe,n m,,1. silence 2. quiet
4,ačhol,v itr,,"stand, stay, stop"
5,ačhol pe,v itr,,calm os. down
6,aďe,adv temp,,today
7,adresa,n f,,address
8,advokato,n m,,"advocate, lawyer, solicitor"
9,aerodrom,n m,,airport
10,agor ,n m,,1. end 2. region
11,agor planinako,n phr m,,mountain top
12,agorengo,adj,,"coal-like, of coal"
13,agrusňi,n f,,ring (for finger)
14,ajkula,n f,,shark
15,ajmforto,n m,,terrace
16,akana,adv temp,,"1. now 2. immediately, at once"
17,akharipe,n m,,"call, invitation"
18,akharol,v tr,,1. call 2. invite 3. name
19,akharol,v itr,,be called
20,akhor,n m,,"nut, walnut"
21,akhoresko,adj m,,"nut-, of nut"
22,akhoresko kaš,n phr m,,walnut tree
23,ako,conj,,if
24,aktivnost,n m,,activity
25,akto,n m,,file (document)
26,alav,n m,,1. word 2. name 3. voice
27,albumo,n m,,album
28,amajlija,n f,,amulet
29,amal,n m,,1. friend (m.) 2. neighbour 3. visitor
30,amaro,pron poss 1 sg m,,our
31,ambari,n m,,barn
32,ambrol,n m,,pear
33,ambrolako kaš,n phr m,,pear tree
34,amen,pron pers 1 pl,,we
35,ande aďesutni vŕama,adv phr temp,,nowadays
36,ande bari mera,adv phr mod,,largely
37,ande durimaski vŕama,adv phr temp,,long ago
38,ande jokharimaste,adv phr mod,,"suddenly, all of a sudden"
39,ande mardi,adv phr temp,,on Tuesday(s)
40,ande maskarthemutni vŕama,adv phr temp,,meanwhile
41,ande tatraďi,adv phr temp,,on Wednesday(s)
42,ande tomna,adv phr temp,,in autumn
43,anďelo,n m,,angel
44,anďeo,n m,,angel
45,ando,prep,,"in, into, within, at, to"
46,ando,adv loc,,in
47,ando ivend,adv phr temp,,in winter
48,ando kurko,adv phr temp,,on Sunday(s)
49,ando lujo,adv phr temp,,on Monday(s)
50,ando milaj,adv phr temp,,in summer
51,ando mismeri,adv phr temp,,at noon
52,ando paraštuj,adv phr temp,,on Friday(s)
53,ando proleče,adv phr temp,,in spring
54,ando savato ,adv phr temp,,on Saturday(s)
55,ando žoj,adv phr temp,,on Thursday(s)
56,andral,adv loc,,"inside, from inside"
57,andral,prep,,within
58,angar,n m,,coal
59,anglaj ŕat,n phr,,evening
60,anglal,prep,,"in front of, before"
61,anglal,adv loc,,1. ahead 2. above
62,anglav,adv loc,,1. from outside 2. in front
63,anglav čer,adv phr loc,,1. out of the house 2. from home
64,anglav milaj,n phr,,spring
65,anglav mismeri,n phr,,forenoon
66,angro,n m,,1. egg 2. testicle
67,anol,v tr,,1. bring 2. contribute
68,aprili,n m,,April
69,araći,adv temp,,yesterday
70,aresol,v itr,,"arrive, reach"
71,aro,n m,,flour
72,asal,v itr,,"laugh, smile"
73,asape,n m,,1. laughter 2. smile
74,asavimasko,adj m,,funny
75,asavol,v tr,,mock
76,astarol,v tr,,"capture, grab"
77,ašundo,adj m,,noisy
78,ašunipe,n m,,sound
79,ašunol,v itr,,"listen, hear"
80,auto,n m,,car
81,autobuso,n m,,bus
82,autoriteto,n m,,authority
83,aver,adj indef,,next
84,averarači,adv temp,,the day before yesterday
85,averčande,adv mod,,1. otherwise 2. differently
86,averčando,adj m,,different
87,averdata,adv temp,,another time
88,averďes,adv temp,,the next day
89,averthande,adv loc,,elsewhere
90,averthara,adv temp,,the day after tomorrow
91,avgusto,n m,,August
92,aviono,n m,,plane
93,avipe,n m,,1. arrival 2. return
94,avlija,n f,,yard
95,avol,v itr,,1. come 2. become 3. appear
96,avol,v cop itr,,be
97,avol ando staňe,v phr itr,,be able to
98,avol hoľariko,v phr itr,,be angry
99,avri,prep,,out of
100,avrľal,prep,,1. outside 2. before
101,avrľal,adv loc,,"out, outside"
102,ažućaripe,n m,,expectation
103,ažučarno,adj m,,patient
104,ažućarol,v itr,,wait
105,ažućarol,v tr,,"expect, await"
106,ažutil,v tr,,help
107,badňo ďes,n phr m,,"day of the 3 Magi, epiphany day"
108,bajer,n m,,"beautiful spot, beautiful place"
109,bakhrano mas,n phr m,,mutton
110,bakhri,n f,,1. sheep (female) 2. goat (female)
111,bakhro,n m,,1. sheep (male) 2. billy goat 3. kid (goatling)
112,bakhroro,n m,,lamb
113,bal,n m,,hair of head
114,balano,adj m,,hairy
115,balari,n m,,swineherd
116,balega,n f,,dropping of a horse
117,balengo mas,n phr m,,pork
118,bali,n f,,1. sow 2. pig
119,balo,n m,,1. boar 2. pig
120,balo po ražňo,n phr m,,sucking-pig
121,baloro,n m,,farrow
122,balval,n f,,1. wind 2. storm
123,baňa,n f,,bathroom
124,banana,n f,,banana
125,bandera,n f,,"pole, mast"
126,bango,adj m,,"crippled, lame"
127,banka,n f,,bank
128,bar,n f,,garden
129,bar,n m,,"stone, rock"
130,baŕaripe,n m,,upbringing
131,baŕarol,v tr,,1. develop 2. raise
132,bare bogiňe,n phr f,,smallpox
133,barem,adv mod,,at least
134,baresko,adj m,,stony
135,bari paraštuj,n phr f,,Good Friday
136,barikanipe,n m,,1. pride 2. arrogance
137,barikano,adj m,,important
138,baripe,n m,,1. development 2. increase
139,baro,adj m,,"big, great, large, huge, tall, high, long, wide, broad"
140,baŕol,v itr,,"grow, increase, rise"
141,barvalipe,n m,,1. wealth 2. richness 3. property
142,barvalo,adj m,,"rich, wealthy"
143,barvaŕol pe,v itr,,become rich
144,baš,adv mod,,even
145,bašalňi,n f,,gun
146,bašavipe,n m,,shot
147,bašavol,v itr,,bark
148,bašno,n m,,rooster
149,baštovano,n m,,gardener
150,batako,n m,,drumstick
151,bax,n f,,1. luck 2. joy 3. happiness
152,baxtalo,adj m,,"1. glad, happy, lucky 2. proud"
153,baždaril,v tr,,bandage
154,baziril,v itr,,base
155,beba,n f,,baby
156,Bečo,n m,,Vienna
157,beda,n f,,"misery, disaster"
158,beng,n m,,devil
159,bengalo,adj m,,devilish
160,benzino,n m,,petrol
161,bešavňi,n f,,1. chair 2. bench
162,bešol,v itr,,"sit, sit down"
163,bespomočno,adj,,helpless
164,bibax,n f,,1. misfortune 2. bad luck 3. evil 4. pity 5. grief 6. trouble 7. regret
165,bibaxtalo,adj m,,"sad, miserable, unhappy"
166,bibaxtarol,v tr,,make sad
167,biberi,n m,,"1. pepper 2. sweet pepper, red pepper (spice)"
168,bibi,n f,,1. aunt (father's sister) 2. aunt (mother's sister) 3. grandmother
169,bibućako,adj m,,unemployed
170,bičalol,v tr,,send
171,bičeresko,adj m,,homeless
172,bicikla,n f,,bicycle
173,bićinimasko,n m,,seller
174,bićinipe,n m,,sale
175,bićinol,v tr,,sell
176,bićivali,n f,,saleswoman
177,bićivalo,n m,,salesman
178,bičo,n m,,whip
179,bifulado,adj m,,ragged
180,bijandimasko odmori,n phr,,holiday
181,bijandipe,n m,,1. childhood 2. birth
182,bijando ďes,n phr m,,birthday
183,bijanol,v itr,,be born
184,bijanol,v tr,,give birth
185,bilačho,adj m,,"bad, evil, rough, harmful"
186,bilačipe,n m,,impudence
187,biladžavimasko,adj m,,shameless
188,biľka,n f,,plant
