Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. aber 2. und
2,a!,interj,,"ach!, ah!"
3,aabeca,n f,,ABC-Buch
4,aapsis,n m,,Bagger
5,aarstinel,v tr,,"1. behandeln 2. heilen, kurieren"
6,aarstinel pes,v itr,,"sich einer Behandlung unterziehen, zur Behandlung gehen"
7,aarstòs,n m,,"Arzt, Doktor"
8,aarzemi,n pl,,fremde Länder
9,aasijav,n m,,Mühle
10,aaťa,n f,,Haken
11,abažuuròs,n m,,Lampenschirm
12,abe,conj,,aber
13,abee,conj,,aber
14,aber,conj,,aber
15,ablatiivòs,n m,,Ablativ
16,ačhavel,v tr,,verlassen
17,ačhel,v itr,,"1. übrig bleiben, bleiben 2. werden 3. geschehen"
18,ačmeň,n f,,"Gerste, Gerstenkorn"
19,ačmeňitkò,adj m,,Gersten-
20,ada,pron dem,,"dieser, diese, dieses, diese (pl.)"
21,ada-beľveľ,adv temp,,"heute Abend, heute Nacht"
22,ada-berš,adv temp,,dieses Jahr
23,ada-čhon,adv temp,,dieses Monat
24,ada-diisengiirò,adj m,,im Zusammenhang mit jetzigen Tagen
25,ada-diisengò,adj m,,im Zusammenhang mit jetzigen Tagen
26,ada-dives,adv temp,,heute
27,ada-divesatunò,adj m,,heutig
28,ada-divesengiirò,adj m,,im Zusammenhang mit jetzigen Tagen
29,ada-divesengò,adj m,,im Zusammenhang mit jetzigen Tagen
30,ada-diveseskiirò,adj m,,"heutig, im Zusammenhang mit diesem Tag"
31,ada-diveseskò,adj m,,"heutig, im Zusammenhang mit diesem Tag"
32,ada-divesitkò,adj m,,heutig
33,ada-kurkò,adv temp,,diese Woche
34,ada-linaj,adv temp,,diesen Sommer
35,ada-molòs,adv temp,,diesmal
36,ada-molòskiirò,adj m,,anwesend
37,ada-molòskò,adj m,,anwesend
38,ada-rat,adv temp,,"diese Nacht, heute Nacht"
39,ada-rik,adv loc,,hier
40,ada-tašarla,adv temp,,diesen Morgen
41,adaj,adv loc,,hier
42,adaj-pat,adv loc,,genau hier
43,adaja,pron dem f,,diese
44,adala,pron dem pl,,diese (pl.)
45,adale,pron dem,,"dieser, diese, diese (pl.)"
46,adasai,adj,,"solch, so eine"
47,adasaò,adj,,"solch, so ein"
48,adasavi,adj,,"solch, so eine"
49,adasavò,adj,,"solch, so ein"
50,adate,adv loc,,hier
51,adava,pron dem m,,dieser
52,adjektiivòs,n m,,Adjektiv
53,adresa,n f,,"Adresse, Anschrift"
54,adresinel,v tr,,"etw. an jemanden richten, anreden"
55,adverbòs,n m,,Adverb
56,advokaatòs,n m,,Rechtsanwalt
57,adźa,adv mod,,so
58,adźake,adv mod,,so
59,adźapať ,adv mod,,1. auf gleiche Art und Weise 2. genau so
60,aferistòs,n m,,Schwindler
61,affa,n f,,Affe
62,agor,n m,,"Ende, Abschluss"
63,agorjakirel,v tr,,beenden
64,agorjòl,v itr,,enden
65,agorutno,adj m,,End-
66,agres,adv temp,,früh
67,agrò,adj m,,früh
68,agronomòs,n m,,Agronom
69,aha!,interj,,aha!
70,ai!,interj,,"ach!, ah!"
71,aizbičhavel,v tr,,"1. wegschicken, entsenden 2. schicken"
72,aizbistirel,v tr,,vergessen
73,aizbistirel pes,v itr,,sich vergessen
74,aizbistrel,v tr,,vergessen
75,aizbistrel pes,v itr,,sich vergessen
76,aizdel,v tr,,leihen
77,aizdriminel,v itr,,eindösen
78,aizdžal,v itr,,weggehen
79,aizkavinel,v tr,,"aufhalten, verzögern"
80,aizkavinel pes,v itr,,1. aufgehalten werden 2. zu spät sein
81,aizkeerel,v tr,,"schließen, zumachen"
82,aizlel,v tr,,"1. einnehmen, besetzen 2. beanspruchen, Zeit beanspruchen"
83,aizlel pes,v itr,,"borgen, ausleihen"
84,aizliinò,adj m,,1. eingenommen 2. besetzt 3. beschäftigt
85,aiznaašel,v itr,,"weglaufen, fliehen"
86,aizpašòl pes,v itr,,"verschlafen, einschlafen"
87,aizphandel,v tr,,"verschließen, schließen, verschnüren, zubinden, zumachen, verknoten"
88,aizphandel pes,v itr,,"sich schließen, zugehen"
89,aizrikirel,v tr,,1. festhalten 2. verschieben 3. aufhalten
90,aizrikirel pes,v itr,,1. festgehalten werden 2. aufgehalten werden 3. zu lange bleiben
91,aizsikaiben,n m,,1. Bemerkung 2. Beobachtung
92,aizsikavel,v tr,,"1. unterrichten, anweisen 2. hinweisen auf"
93,aiztardžòl,v tr,,"verteidigen, schützen, aufstehen für"
94,aiztardžòl pes,v itr,,sich selbst verteidigen
95,aizterdžòl,v tr,,"verteidigen, schützen, aufstehen für"
96,aizterdžòl pes,v itr,,sich selbst verteidigen
97,aizuxtilel,v tr,,berühren
98,aizuxtilel pes,v itr,,1. nachjagen 2. sich durchsetzen
99,aizxačkirel,v tr,,etwas anzünden
100,akada,pron dem,,1. schau dieses hier 2. schau diese hier (pl.)
101,akadaj,adv loc,,schau hier
102,akadaja,pron dem f,,schau diese
103,akadala,pron dem pl,,schau diese (pl.)
104,akadasaò,adj,,1. schau solcher 2. schau solche
105,akadasavò,adj,,1. schau solcher 2. schau solche
106,akadava,pron,,schau dieser
107,akadźa,adv mod,,"schau so, das ist der Weg"
108,akadźake,adv mod,,"schau so, das ist der Weg"
109,akakana,adv temp,,schau jetzt
110,akana,adv temp,,"jetzt, im Moment"
111,akanatunò,adj m,,"jetzt, laufend"
112,akcentòs,n m,,"Akzent, Betonung"
113,ake,part narr,,Hier bist du!
114,aken,part narr,,Hier seid ihr!
115,akhor,n m,,Walnuss
116,akhorin,n f,,Walnussbaum
117,ako cik,adv mod,,so viel wie
118,akuzatiivòs,n m,,Akkusativ
119,ala,n f,,"Bau, Höhle"
120,alakhel,v tr,,finden
121,alav,n m,,Wort
122,alfabeetòs,n m,,Alphabet
123,alga,n f,,"Lohn, Bezahlung, Gehalt"
124,alnis,n m,,Elch
125,alumiinijòs,n m,,Aluminium
126,alva,n f,,Zinn
127,amaare-diisengò,adj m,,"modern, zeitgenössisch, im Zusammenhang mit jetzigen Tagen"
128,amaare-diisengò,adj m,,"modern, zeitgenössisch, im Zusammenhang mit jetzigen Tagen"
129,amaarò,pron poss 1 sg m,,unser
130,amal,n m,,"Freund, Kamerad"
131,amare-divesengò,adj m,,"modern, zeitgenössisch, im Zusammenhang mit jetzigen Tagen"
132,amare-divesengò,adj m,,"modern, zeitgenössisch, im Zusammenhang mit jetzigen Tagen"
133,ambrol,n m,,Birne
134,ambròlin,n f,,Birnbaum
135,ame,pron pers 1 pl,,wir
136,amerikaanis,n m,,Amerikaner
137,amerikaanitkò,adj m,,amerikanisch
138,ami,part mod,,ja
139,amoňis,n m,,Amboss
140,amuuňis,n m,,Amboss
141,an,prep,,in
142,an (biľi-koneskiirò) štetòs,prep phr,,"anstelle von etwas, anstelle von jemandem"
143,an aarzemi,prep phr,,im Ausland
144,an čačipen,prep phr,,in Wahrheit
145,an vaar phuuja,prep phr,,im Ausland
146,an-ò signuma,prep phr,,"1. bald, schnell 2. in Kürze, gleich"
147,analfabeetòs,n m,,1. Analphabet 2. ignorante Person
148,analiiza,n f,,Analyse
149,analizinel,v tr,,analysieren
150,ančmeň,n f,,"Gerste, Gerstenkorn"
151,ande,prep,,in
152,ande karšma,prep phr,,in der Kneipe
153,ande maijakò čhon,adv temp,,im Mai
154,andè vaar phuuja,prep phr,,im Ausland
155,andò kraľuma suunengò,prep phr,,im Königreich der Träume
156,andò tritò berša,prep phr,,im dritten Jahr
157,andraka,n f,,Rock
158,andral,adv loc,,"darin, drinnen, hinein"
159,andratunestir,adv loc,,von innerhalb
160,andratunò,adj m,,inner-
161,andre,adv loc,,"darin, drinnen, hinein"
162,andre-džabnaskiiro,n m,,"Eintritt, Eingang"
163,andu,adv loc,,"darin, drinnen, hinein"
164,ane,prep,,in
165,angal,adv temp,,von früher
166,angal,adv loc,,von vorne
167,angaľa,n f,,Schoß
168,angil,adv temp,,vor
169,angil,adv loc,,"vor, vorwärts"
170,angil dova si,adv phr,,vor
171,angil dova sir,adv phr,,vor
172,angil khameskò uxtipen,adv phr,,vor Sonnenaufgang
173,angil-bešibnaskiirò,n m,,Vorsitzender
174,angil-lidžibnaskiirò,n m,,"Führer, Vorsitzender"
175,angil-linaj,n m,,Frühling
176,angil-linaskiirò,adj m,,"Frühlings-, frühlingshaft"
177,angil-linaskiirò,adv temp,,im Frühling
178,angil-linaskò,adj m,,"Frühlings-, frühlingshaft"
179,anglal,adv temp,,von früher
180,anglal,adv loc,,von vorne
181,anglatunestir,adv temp,,von früher
182,anglatunestir,adv loc,,von davor
183,anglatunò,n m,,"Haupt, Chef"
184,anglatunò,adj m,,vorderes
185,angle,prep,,"vor, vorwärts"
186,angledir,adv loc,,weiter nach vorne
