Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. but 2. and
2,a!,interj,,ah!
3,aabeca,n f,,ABC book
4,aapsis,n m,,badger
5,aarstinel,v tr,,1. treat 2. cure
6,aarstinel pes,v itr,,"undergo treatment, take a cure"
7,aarstòs,n m,,"physician, doctor"
8,aarzemi,n pl,,foreign countries
9,aasijav,n m,,mill
10,aaťa,n f,,hook
11,abažuuròs,n m,,lampshade
12,abe,conj,,but
13,abee,conj,,but
14,aber,conj,,but
15,ablatiivòs,n m,,ablative
16,ačhavel,v tr,,leave
17,ačhel,v itr,,"1. remain, stay 2. become 3. happen"
18,ačmeň,n f,,"barley, sty"
19,ačmeňitkò,adj m,,barley
20,ada,pron dem,,"this, these"
21,ada-beľveľ,adv temp,,"this evening, tonight"
22,ada-berš,adv temp,,this year
23,ada-čhon,adv temp,,this month
24,ada-diisengiirò,adj m,,connected with present days
25,ada-diisengò,adj m,,connected with present days
26,ada-dives,adv temp,,today
27,ada-divesatunò,adj m,,today's
28,ada-divesengiirò,adj m,,connected with present days
29,ada-divesengò,adj m,,connected with present days
30,ada-diveseskiirò,adj m,,"today's, connected with this day"
31,ada-diveseskò,adj m,,"today's, connected with this day"
32,ada-divesitkò,adj m,,today's
33,ada-kurkò,adv temp,,this week
34,ada-linaj,adv temp,,this summer
35,ada-molòs,adv temp,,this time
36,ada-molòskiirò,adj m,,present
37,ada-molòskò,adj m,,present
38,ada-rat,adv temp,,"this night, tonight"
39,ada-rik,adv loc,,here
40,ada-tašarla,adv temp,,this morning
41,adaj,adv loc,,here
42,adaj-pat,adv loc,,just here
43,adaja,pron dem f,,this
44,adala,pron dem pl,,these
45,adale,pron dem,,"this, these"
46,adasai,adj,,such
47,adasaò,adj,,such
48,adasavi,adj,,such
49,adasavò,adj,,such
50,adate,adv loc,,here
51,adava,pron dem m,,this
52,adjektiivòs,n m,,adjective
53,adresa,n f,,address
54,adresinel,v tr,,address
55,adverbòs,n m,,adverb
56,advokaatòs,n m,,"lawyer, barrister, attorney"
57,adźa,adv mod,,so
58,adźake,adv mod,,so
59,adźapať ,adv mod,,1. in the same way 2. just so
60,aferistòs,n m,,"swindler, cheat"
