Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. bet 2. un
2,a!,interj,,"ā!, ak!"
3,aabeca,n f,,ābece
4,aapsis,n m,,āpsis
5,aarstinel,v tr,,ārstēt
6,aarstinel pes,v itr,,ārstēties
7,aarstòs,n m,,ārsts
8,aarzemi,n pl,,ārzemes
9,aasijav,n m,,"dzirnavas, sudmalas"
10,aaťa,n f,,āķis
11,abažuuròs,n m,,abažūrs
12,abe,conj,,bet
13,abee,conj,,bet
14,aber,conj,,bet
15,ablatiivòs,n m,,ablatīvs
16,ačhavel,v tr,,atstāt
17,ačhel,v itr,,"palikt, atlikt, dēties, kļūt, notikt"
18,ačmeň,n f,,"mieži, miežgrauds"
19,ačmeňitkò,adj m,,miežu-
20,ada,pron dem,,"šis, šī, šie, šīs"
21,ada-beľveľ,adv temp,,šovakar
22,ada-berš,adv temp,,šogad
23,ada-čhon,adv temp,,šomēnes
24,ada-diisengiirò,adj m,,šo dienu-
25,ada-diisengò,adj m,,šo dienu-
26,ada-dives,adv temp,,šodien
27,ada-divesatunò,adj m,,"šodienas-, šīsdienas-, šāsdienas-, šodienējais"
28,ada-divesengiirò,adj m,,šo dienu-
29,ada-divesengò,adj m,,šo dienu-
30,ada-diveseskiirò,adj m,,"šodienas-, šīsdienas-, šāsdienas-"
31,ada-diveseskò,adj m,,"šodienas-, šīsdienas-, šāsdienas-"
32,ada-divesitkò,adj m,,"šodienas-, šīsdienas-, šāsdienas-"
33,ada-kurkò,adv temp,,šonedēļ
34,ada-linaj,adv temp,,šovasar
35,ada-molòs,adv temp,,šoreiz
36,ada-molòskiirò,adj m,,šoreizējs
37,ada-molòskò,adj m,,šoreizējs
38,ada-rat,adv temp,,šonakt
39,ada-rik,adv loc,,šurp
40,ada-tašarla,adv temp,,šorīt
41,adaj,adv loc,,"šeit, te"
42,adaj-pat,adv loc,,"šepat, tepat"
43,adaja,pron dem f,,šī
44,adala,pron dem pl,,"šie, šīs"
45,adale,pron dem,,1. šo 2. šos 3. šīs
46,adasai,adj,,"šāda, tāda"
