Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,1. но 2. и
2,a!,interj,,ах!
3,aabeca,n f,,букварь
4,aapsis,n m,,барсук
5,aarstinel,v tr,,"обращаться с кем-либо, лечить"
6,aarstinel pes,v itr,,подвергнуться лечению
7,aarstòs,n m,,"терапевт, доктор"
8,aarzemi,n pl,,иностранные государства
9,aasijav,n m,,мельница
10,aaťa,n f,,крюк
11,abažuuròs,n m,,абажур
12,abe,conj,,но
13,abee,conj,,но
14,aber,conj,,но
15,ablatiivòs,n m,,отложительный падеж
16,ačhavel,v tr,,покидать
17,ačhel,v itr,,1. оставаться 2. становиться 3. случаться
18,ačmeň,n f,,ячмень
19,ačmeňitkò,adj m,,ячменный
20,ada,pron dem,,1. этот 2. эти
21,ada-beľveľ,adv temp,,сегодня вечером
22,ada-berš,adv temp,,в этом году
23,ada-čhon,adv temp,,в этом месяце
24,ada-diisengiirò,adj m,,имеющий отношение к настоящему времени
25,ada-diisengò,adj m,,имеющий отношение к настоящему времени
26,ada-dives,adv temp,,сегодня
27,ada-divesatunò,adj m,,сегодняшний
28,ada-divesengiirò,adj m,,имеющий отношение к настоящему времени
29,ada-divesengò,adj m,,имеющий отношение к настоящему времени
30,ada-diveseskiirò,adj m,,сегодняшний
31,ada-diveseskò,adj m,,сегодняшний
32,ada-divesitkò,adj m,,сегодняшний
33,ada-kurkò,adv temp,,на этой неделе
34,ada-linaj,adv temp,,этим летом
35,ada-molòs,adv temp,,в этот раз
36,ada-molòskiirò,adj m,,присутствующий
37,ada-molòskò,adj m,,присутствующий
38,ada-rat,adv temp,,этой ночью
39,ada-rik,adv loc,,здесь
40,ada-tašarla,adv temp,,сегодня утром
41,adaj,adv loc,,здесь
42,adaj-pat,adv loc,,прямо здесь
43,adaja,pron dem f,,этот
44,adala,pron dem pl,,эти
45,adale,pron dem,,1. этот 2. эти
46,adasai,adj,,такой
47,adasaò,adj,,такой
48,adasavi,adj,,такой
49,adasavò,adj,,такой
50,adate,adv loc,,здесь
51,adava,pron dem m,,этот
52,adjektiivòs,n m,,прилагательное
53,adresa,n f,,адрес
54,adresinel,v tr,,обращаться
55,adverbòs,n m,,наречие
56,advokaatòs,n m,,адвокат
57,adźa,adv mod,,так мало
58,adźake,adv mod,,так
59,adźapať ,adv mod,,1. точно так 2. тем же способом
60,aferistòs,n m,,"аферист, жулик"
61,affa,n f,,обезьяна
62,agor,n m,,"1. коней 2. вывод, финал"
63,agorjakirel,v tr,,заканчивать
64,agorjòl,v itr,,"заканчиваться, кончаться"
65,agorutno,adj m,,1. заключительный 2. последний
66,agres,adv temp,,рано
67,agrò,adj m,,ранний
68,agronomòs,n m,,агроном
69,aha!,interj,,ага!
70,ai!,interj,,ах!
71,aizbičhavel,v tr,,"посылать, отсылать"
72,aizbistirel,v tr,,забывать
73,aizbistirel pes,v itr,,забыться
74,aizbistrel,v tr,,забывать
75,aizbistrel pes,v itr,,забыться
76,aizdel,v tr,,давать взаймы
77,aizdriminel,v itr,,задремать
78,aizdžal,v itr,,уходить
79,aizkavinel,v tr,,задерживать
80,aizkavinel pes,v itr,,1. опаздывать 2. задерживаться
81,aizkeerel,v tr,,закрывать
82,aizlel,v tr,,1. занимать 2. занимать время
83,aizlel pes,v itr,,занимать
84,aizliinò,adj m,,занятый
85,aiznaašel,v itr,,"убегать, удирать"
86,aizpašòl pes,v itr,,"проспать, засыпать"
87,aizphandel,v tr,,"1. запирать, закрывать 2. привязывать"
88,aizphandel pes,v itr,,закрывать
89,aizrikirel,v tr,,1. задерживать 2. арестовывать
90,aizrikirel pes,v itr,,задерживаться
91,aizsikaiben,n m,,1. замечание 2. наблюдение
92,aizsikavel,v tr,,"инструктировать, указывать"
93,aiztardžòl,v tr,,"защищать, выступать за"
94,aiztardžòl pes,v itr,,защищаться
