Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,"und, aber"
2,ablokato,n m,-î/-os-,Anwalt
3,aborto,n m,-î/-os-,Abtreibung
4,ačêla,v mod,-j-/-l-,werden
5,ačêla pê,v,,bleiben
6,ačjaibê,n m,-a/-as-,Rest
7,ačjaibên,n m,-a/-as-,Rest
8,ačjakirêla,v,-ď-/-d-,"1. lassen, belassen 2. verlassen"
9,ačjavela,v,-ď-/-d-,verlassen
10,ada,pron dem m,,dieser
11,adadîvês,adv temp,,"heute, jetzt"
12,adadîvêsatuno,adj m,,heutiger
13,adaj,adv loc,,hier
14,adaja,pron dem f,,diese
15,aďakê,adv,,"1. genauso, so 2. tatsächlich 3. gewöhnlich"
16,adakicî,adv,,so viel
17,aďakicî,adv,,so viel
18,adala,pron dem pl,,dieser
19,adale,pron dem pl,,diese
20,adarik,adv loc,,"hier, hierher"
21,adasavo,adj indef m,,"dieser, solcher, derartiger"
22,adastîr,adv loc,,von hier
23,adathîr,adv loc,,von hier aus
24,adava,pron dem m,,dieser
25,administracîja,n f,-i/-ja-,Administration
26,administrativno,adj m,,administrativ
27,ado,n m,—/-os-,Hölle
28,adrê,prep,,in
29,adro,prep,,in
30,advokato,n m,-î/-os-,Anwalt
31,aêrodromo,n m,-î/-os-,Flughafen
32,aêroplano,n m,-î/-os-,Flugzeug
33,afiša,n f,-î/-a-,"Poster, Anzeigetafel"
34,aǧento,n m,-î/-os-,Agent
35,agi,part,,ja
36,agitacîja,n f,-i/-ja-,Propaganda
37,agitacîonno,adj m,,agitatorisch
38,agitatoro,n m,-î/-os-,Agitator
39,agŕessija,n f,-i/-ja-,"Agression, Angrif, Wut"
40,agronomo,n m,-î/-os-,Agronom
41,ai,part,,ja
42,akada,pron dem m,,dieser da
43,akaďakê,adj indef,,so
44,akadasavo,adj indef m,,"solcher, deratiger"
45,akadava,pron dem m,,dieser da
46,akakana,adv temp,,genau jetzt
47,akana,adv temp,,"jetzt, heutzutage"
48,akanatuno,adj m,,"momentaner, heutiger"
49,akê,part,,"hier, da"
50,akên,part,,dort da
51,akodova,pron dem m,,dieser dort
52,aktivisto,n m,-î/-os-,Aktivist
53,aktivno,adj m,,aktiv
54,aktivo,n m,-î/-os-,Aktiv
55,akto,n m,-î/-os-,Akt
56,aktrisa,n f,-î/-a-,Schauspielerin
57,aktuaľno,adj m,,aktuell
58,akuratno,adj m,,"vorsichtig, ordentlich, sorgfältig"
59,akušerka,n f,-î/-a-,Hebamme
60,alfavito,n m,-î/-os-,Alphabet
61,alimjentî,n pl,,Alimente
62,alirgija,n f,-î/-ja-,Allergie
63,alkogoľno,adj m,,alkoholisch
64,Allaxo,n m,—/-os-,Allah
65,aľmanaxo,n m,-î/-os-,Almanach
66,altari,n m,-i/-is-,Altar
67,altaŕo,n m,-i/-is-,Altar
68,aľuminijo,n m,-i/-os-,Aluminium
69,amaro,pron poss 1 sg m,,unser
70,amblavdo,n m,-î/-os-,Pud
71,ambulatorija,n f,-i/-ja-,Ambulatorium
72,amê,pron pers 1 pl,,wir
73,andral,adv loc,,von innen
74,andralatuno,adj m,,"inner-, innerlicher"
75,andrê,adv loc,,"im Inneren, nach Innen"
76,andrîpê,n m,-ê/-es-,Pferdegeschirr
77,andrîpên,n m,-a/-as-,Pferdegeschirr
78,anêla,v,,bringen
79,anǧelo,n m,-î/-os-,Engel
80,angil,adv temp,,"bis, bevor, früher"
81,angil,adv loc,,"1. nach vor, vorne 2. dagegen"
82,angil,prep,,vor
83,anglatuno,adj m,,vorderer
84,anglê,adv loc,,"vorne, voraus"
85,anglîpê,n m,-a/-as-,Zukunft
86,anglîpên,n m,-a/-as-,Zukunft
87,angluj,n m,-a/-es-,"Vorderseite, Fassade"
88,angrustî,n f,-ja/-es-,Ring
89,angušt,n m,-a/-es-,Finger
90,anǩeta,n f,-î/-a-,Fragebogen
91,anklisto,adj m,,Reit-
92,antenna,n f,-î/-a-,Antenne
93,antiŕeligiozno,adj m,,antireligiös
94,antrakto,n m,-î/-os-,Pause
95,anuso,n m,-î/-os-,Anus
96,apiľsino,n m,-î/-os-,Orange
97,apindicîto,n m,-î/-os-,Blinddarm
98,apitito,n m,-i/-os-,Appetit
99,apjeľsino,n m,-î/-os-,Orange
