Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,"and, but"
2,ablokato,n m,-î/-os-,lawyer
3,aborto,n m,-î/-os-,abortion
4,ačêla,v mod,-j-/-l-,become
5,ačêla pê,v,,1. remain 2. become
6,ačjaibê,n m,-a/-as-,remainder
7,ačjaibên,n m,-a/-as-,remainder
8,ačjakirêla,v,-ď-/-d-,leave
9,ačjavela,v,-ď-/-d-,leave
10,ada,pron dem m,,this
11,adadîvês,adv temp,,"today, now"
12,adadîvêsatuno,adj m,,"today's, contemporary"
13,adaj,adv loc,,here
14,adaja,pron dem f,,this
15,aďakê,adv,,"1. in this way, in the usual way, so 2. indeed"
16,adakicî,adv,,"so much, as many"
17,aďakicî,adv,,"so much, as many"
18,adala,pron dem pl,,these
19,adale,pron dem pl,,these
20,adarik,adv loc,,"here (directional), this way"
21,adasavo,adj indef m,,this kind
22,adastîr,adv loc,,from here
23,adathîr,adv loc,,from here
24,adava,pron dem m,,this
25,administracîja,n f,-i/-ja-,administration
26,administrativno,adj m,,administrative
27,ado,n m,—/-os-,hell
28,adrê,prep,,"in, into"
29,adro,prep,,"in, into"
30,advokato,n m,-î/-os-,lawyer
31,aêrodromo,n m,-î/-os-,airport
32,aêroplano,n m,-î/-os-,airplane
33,afiša,n f,-î/-a-,"poster, billboard"
34,aǧento,n m,-î/-os-,agent
35,agi,part,,yes
36,agitacîja,n f,-i/-ja-,propaganda
37,agitacîonno,adj m,,"agitational, propaganda"
38,agitatoro,n m,-î/-os-,"agitator, propagandist"
39,agŕessija,n f,-i/-ja-,"aggression, attack, assault"
40,agronomo,n m,-î/-os-,agriculturist
41,ai,part,,yes
42,akada,pron dem m,,this
43,akaďakê,adj indef,,"in this manner, so"
44,akadasavo,adj indef m,,in this way
45,akadava,pron dem m,,this
46,akakana,adv temp,,right now
47,akana,adv temp,,now
48,akanatuno,adj m,,"present, current"
49,akê,part,,"here, here you are"
50,akên,part,,"here, here you are"
51,akodova,pron dem m,,that
52,aktivisto,n m,-î/-os-,activist
53,aktivno,adj m,,active
54,aktivo,n m,-î/-os-,"body of active functionaries, assets"
55,akto,n m,-î/-os-,act
56,aktrisa,n f,-î/-a-,actress
57,aktuaľno,adj m,,"1. actual, present-day 2. topical, urgent"
58,akuratno,adj m,,"careful, punctual, exact"
59,akušerka,n f,-î/-a-,midwife
60,alfavito,n m,-î/-os-,alphabet
61,alimjentî,n pl,,alimony
62,alirgija,n f,-î/-ja-,allergy
63,alkogoľno,adj m,,alcoholic
64,Allaxo,n m,—/-os-,Allah
65,aľmanaxo,n m,-î/-os-,"almanac, anthology"
66,altari,n m,-i/-is-,altar
67,altaŕo,n m,-i/-is-,altar
68,aľuminijo,n m,-i/-os-,aluminum
69,amaro,pron poss 1 sg m,,our
70,amblavdo,n m,-î/-os-,"pound,  old Russian measure of weight, about 16 kg"
71,ambulatorija,n f,-i/-ja-,ambulance station
72,amê,pron pers 1 pl,,we
73,andral,adv loc,,from inside
74,andralatuno,adj m,,internal
75,andrê,adv loc,,inside
76,andrîpê,n m,-ê/-es-,harness
77,andrîpên,n m,-a/-as-,harness
78,anêla,v,,bring
79,anǧelo,n m,-î/-os-,angel
80,angil,prep,,in front
81,angil,adv temp,,before
82,angil,adv loc,,"1. in front, forward 2. against"
83,anglatuno,adj m,,"1. front, anterior 2. foremost"
84,anglê,adv loc,,"in front, forward"
85,anglîpê,n m,-a/-as-,future
86,anglîpên,n m,-a/-as-,future
87,angluj,n m,-a/-es-,facade
88,angrustî,n f,-ja/-es-,ring
89,angušt,n m,-a/-es-,finger
90,anǩeta,n f,-î/-a-,application
91,anklisto,adj m,,horse-riding
92,antenna,n f,-î/-a-,antenna
93,antiŕeligiozno,adj m,,antireligious
94,antrakto,n m,-î/-os-,intermission
95,anuso,n m,-î/-os-,anus
96,apiľsino,n m,-î/-os-,orange
97,apindicîto,n m,-î/-os-,appendix
98,apitito,n m,-i/-os-,appetite
99,apjeľsino,n m,-î/-os-,orange
