Index,Entry Word,Part of Speech,Affix,Definition
1,a,conj,,а
2,ablokato,n m,-î/-os-,адвокат
3,aborto,n m,-î/-os-,аборт
4,ačêla,v mod,-j-/-l-,"становиться, стать"
5,ačêla pê,v,,1. оставаться 2. становиться
6,ačjaibê,n m,-a/-as-,остаток
7,ačjaibên,n m,-a/-as-,остаток
8,ačjakirêla,v,-ď-/-d-,"оставлять, покидать"
9,ačjavela,v,-ď-/-d-,оставлять
10,ada,pron dem m,,этот
11,adadîvês,adv temp,,"сегодня, теперь"
12,adadîvêsatuno,adj m,,"сегодняшний, современный"
13,adaj,adv loc,,здесь
14,adaja,pron dem f,,эта
15,aďakê,adv,,"1. так, также 2. действительно 3. обыкновенно"
16,adakicî,adv,,столько
17,aďakicî,adv,,столько
18,adala,pron dem pl,,этот
19,adale,pron dem pl,,это
20,adarik,adv loc,,сюда
21,adasavo,adj indef m,,"такой, этакий"
22,adastîr,adv loc,,отсюда
23,adathîr,adv loc,,отсюда
24,adava,pron dem m,,этот
25,administracîja,n f,-i/-ja-,администрация
26,administrativno,adj m,,административный
27,ado,n m,—/-os-,ад
28,adrê,prep,,в
29,adro,prep,,в
30,advokato,n m,-î/-os-,адвокат
31,aêrodromo,n m,-î/-os-,аэродром
32,aêroplano,n m,-î/-os-,аэроплан
33,afiša,n f,-î/-a-,афиша
34,aǧento,n m,-î/-os-,агент
35,agi,part,,да
36,agitacîja,n f,-i/-ja-,агитация
37,agitacîonno,adj m,,агитационный
38,agitatoro,n m,-î/-os-,агитатор
39,agŕessija,n f,-i/-ja-,"агрессия, нападение"
40,agronomo,n m,-î/-os-,агроном
41,ai,part,,да
42,akada,pron dem m,,вот этот
43,akaďakê,adj indef,,вот так
44,akadasavo,adj indef m,,вот такой
45,akadava,pron dem m,,вот этот
46,akakana,adv temp,,вот теперь
47,akana,adv temp,,теперь
48,akanatuno,adj m,,"настоящий, теперешний"
49,akê,part,,"вот, на"
50,akên,part,,вот вам
51,akodova,pron dem m,,вон тот
52,aktivisto,n m,-î/-os-,активист
53,aktivno,adj m,,активный
54,aktivo,n m,-î/-os-,актив
55,akto,n m,-î/-os-,акт
56,aktrisa,n f,-î/-a-,актриса
57,aktuaľno,adj m,,актуальный
58,akuratno,adj m,,аккуратный
59,akušerka,n f,-î/-a-,"акушерка, повитуха"
60,alfavito,n m,-î/-os-,алфавит
61,alimjentî,n pl,,алименты
62,alirgija,n f,-î/-ja-,аллергия
63,alkogoľno,adj m,,алкогольный
64,Allaxo,n m,—/-os-,Аллах
65,aľmanaxo,n m,-î/-os-,альманах
66,altari,n m,-i/-is-,алтарь
67,altaŕo,n m,-i/-is-,алтарь
68,aľuminijo,n m,-i/-os-,алюминий
69,amaro,pron poss 1 sg m,,наш
70,amblavdo,n m,-î/-os-,пуд
71,ambulatorija,n f,-i/-ja-,амбулатория
72,amê,pron pers 1 pl,,мы
73,andral,adv loc,,изнутри
74,andralatuno,adj m,,внутренний
75,andrê,adv loc,,"внутри, внутрь"
76,andrîpê,n m,-ê/-es-,упряжь
77,andrîpên,n m,-a/-as-,упряжь
78,anêla,v,,"приносить, приводить"
79,anǧelo,n m,-î/-os-,ангел
80,angil,adv loc,,"1. вперед, впереди 2. против"
81,angil,adv temp,,"до, прежде, раньше"
82,angil,prep,,перед
83,anglatuno,adj m,,1. передний 2. передовой
84,anglê,adv loc,,"впереди, вперед"
