Index,Entry Word,Part of Speech,Affix,Definition
1,adêj,adv loc,,"here, this way"
2,adreso,n m,,address
3,advakato,n m,,lawyer
4,adža,adv,,"in this way, thus"
5,adžjake,adj indef,,such
6,adžjake,adv,,1. thereby 2. similarly
7,agurko,n m,,cucumber
8,akušêrka,n f,,midwife
9,alêjo,n f,,oil
10,aleňo,n m,,male stag
11,amaro,pron poss 1 sg m,,our
12,amê,pron pers 1 pl,,we
13,andê,prep,,"within, in"
14,ando sabê,adv phr,,for fun
15,andrê,adv loc,,inside
16,angil,adv,,in front
17,angrustî,n f,,ring (for finger)
18,aňolo,n m,,angel
19,apčikinêl,v itr,,sneeze
20,apeľsino,n m,,orange
21,apreľo,n m,,April
22,armaňa,n f,,curse
23,aro,n m,,acre
24,atvjortka,n f,,screwdriver
25,avgusto,n m,,August
26,avŕalêstê,adj,,outer
27,avŕalêstêr,adv loc,,from outside
28,avri,prep,,outside
29,avri,adv loc,,1. out 2. outside
30,avtobuso,n m,,bus
31,ažêrico,n m,,pond
32,ažêro,n m,,lake
33,baba,n f,,grandmother
34,bagal,v itr,,sing
35,baj,n f,,sleeve
36,bajinêl,v itr,,play
37,bako,n m,,pail
38,bakrano mas,n phr m,,mutton
39,bakrî,n f,,sheep (female)
40,bakro,n m,,sheep (male)
41,bakroro,n m,,lamb
42,bal,n m,,"hair, hair of head"
43,baľa,n f,,ball
44,balavas,n m,,"suet, tallow"
45,balejka,n f,,bath
46,balîčhano,adj m,,scabby
47,balîčhano mas,n phr m,,pork
48,balîčho,n m,,boar
49,balîčhoro,n m,,farrow
50,balîčnî,n f,,"pig, sow"
51,balîtko,adj,,hairy
52,baľka,n f,,horizontal tent pole
53,balval,n f,,wind
54,bančkirêl,v tr,,"malign, accuse, blame"
55,bandžjol,v tr,,bow
56,bangipê,n f,,1. guilt 2. accusation
57,bango,adj m,,1. crooked 2. guilty
58,banko,n m,,"bench, chair"
59,banko,n m,,bank
60,banto,n m,,braid
61,bar,n f,,fence
62,bar,n m,,stone
63,baŕakirêl,v tr,,"raise, increase"
64,baro,adj m,,"big, great, large"
65,baŕol,v itr,,grow
66,baronakheskiro,adj m,,big-nosed
67,baropêrêskro,adj m,,big-bellied
68,baruno,adj m,,stony
69,barvalîpê,n m,,"richness, wealth"
70,barvalîpên,n m,,jewellery
71,barvalo,adj m,,"rich, wealthy"
72,barvaľol,v itr,,become rich
73,bašaibê,n m,,"game, play"
74,bašavêl,v tr,,make music
75,bašavêl,v itr,,play (an instrument)
76,bašêl,v itr,,bark
77,bašno,n m,,"cock, rooster"
78,bax,n f,,1. luck 2. happiness 3. success
79,baxtalês,adv,,fortunately
80,baxtalo,adj m,,"lucky, hapy, successful"
81,bê,prep,,without
82,bêbalêngro,adj m,,bald
83,bêbučakro,adj m,,unemployed
84,bêčka,n f,,cask
85,bêdêvlêskro,adj m,,ungodly
86,bêkherêskro,adj m,,homeless
87,beľveľ,n f,,evening
88,beľveľakiro xabê,n phr m,,dinner
89,beľvele,adv temp,,this evening
90,beľvelenca,adv temp,,in the evening
91,beľveľol,v itr,,night draws on
92,bêng,n m,,devil
93,bêngvalo,adj m,,devilish
94,benzino,n m,,petrol
95,bêpomêsčakro,adj m,,helpless
96,bêrga,n f,,mountain
97,bêrgi,n,,ridge
98,bêrgica,n f,,hill
99,bêromêskiri,n f,,widow
100,bêromňakro,adj m,,1. widowed 2. unmarried
101,bêrš,n m,,year
102,bêrša,n pl,,age
103,bêršîtko,adj,,annual
104,bêrvêno,n m,,"log, pole"
105,bêšêl,v itr,,"sit, sit down"
106,bêšîbnari,n m,,prisoner
107,bêšľakirêl,v tr,,seat
108,bêsoibnaskro,adj m,,sleepless
109,bibax,n f,,"bad luck, misfortune"
110,bibaxtalo,adj m,,"unhappy, miserable, unsuccessful"
111,bičhavêl,v tr,,send
112,bida,n f,,"prison, jail"
113,bikinêl,v tr,,sell
114,biknîbê,n m,,sale
115,binto,n m,,bandage
