Index,Entry Word,Part of Speech,Affix,Definition
1,adêj,adv loc,,"здесь, сюда"
2,adreso,n m,,адрес
3,advakato,n m,,адвокат
4,adža,adv,,так
5,adžjake,adj indef,,таковой
6,adžjake,adv,,"1. таким образом, тем самым 2. подобным образом, так же"
7,agurko,n m,,огурец
8,akušêrka,n f,,"акушерка, повивальная бабка"
9,alêjo,n f,,масло (растительное)
10,aleňo,n m,,олень
11,amaro,pron poss 1 sg m,,наш
12,amê,pron pers 1 pl,,мы
13,andê,prep,,"внутри, в"
14,ando sabê,adv phr,,в шутку
15,andrê,adv loc,,внутри
16,angil,adv,,перед
17,angrustî,n f,,кольцо
18,aňolo,n m,,ангел
19,apčikinêl,v itr,,чихать
20,apeľsino,n m,,апельсин
21,apreľo,n m,,апрель
22,armaňa,n f,,проклятие
23,aro,n m,,акр
24,atvjortka,n f,,отвертка
25,avgusto,n m,,август
26,avŕalêstê,adj,,наружный
27,avŕalêstêr,adv loc,,снаружи
28,avri,prep,,снаружи
29,avri,adv loc,,1. наружу 2. извне
30,avtobuso,n m,,автобус
31,ažêrico,n m,,пруд
32,ažêro,n m,,озеро
33,baba,n f,,бабушка
34,bagal,v itr,,петь
35,baj,n f,,рукав
36,bajinêl,v itr,,играть
37,bako,n m,,бак
38,bakrano mas,n phr m,,баранина
39,bakrî,n f,,овца
40,bakro,n m,,баран
41,bakroro,n m,,ягненок
42,bal,n m,,"волос, волосы на голове"
43,baľa,n f,,мяч
44,balavas,n m,,сало
45,balejka,n f,,ванная
46,balîčhano,adj m,,"паршивый, покрытый струпьями"
47,balîčhano mas,n phr m,,свинина
48,balîčho,n m,,кабан
49,balîčhoro,n m,,поросенок
50,balîčnî,n f,,свинья
51,balîtko,adj,,волосатый
52,baľka,n f,,горизонтальный шест в палатке
53,balval,n f,,ветер
54,bančkirêl,v tr,,"клеветать, обвинять"
55,bandžjol,v tr,,кланяться
56,bangipê,n f,,1. вина 2. обвинение
57,bango,adj m,,1. кривой 2. виновный
58,banko,n m,,банк
59,banko,n m,,"скамейка, стул"
60,banto,n m,,бант
61,bar,n f,,забор
62,bar,n m,,камень
63,baŕakirêl,v tr,,"вырастить, увеличить"
64,baro,adj m,,большой
65,baŕol,v itr,,расти
66,baronakheskiro,adj m,,носастый
67,baropêrêskro,adj m,,пузатый
68,baruno,adj m,,каменный
69,barvalîpê,n m,,"богатство, состояние"
70,barvalîpên,n m,,драгоценности
71,barvalo,adj m,,богатый
72,barvaľol,v itr,,богатеть
73,bašaibê,n m,,игра
74,bašavêl,v itr,,играть на музыкальном инструменте
75,bašavêl,v tr,,музицировать
76,bašêl,v itr,,гавкать
77,bašno,n m,,петух
78,bax,n f,,1. счастье 2. успех
79,baxtalês,adv,,к счастью
80,baxtalo,adj m,,"счастливый, успешный, удачный"
81,bê,prep,,без
82,bêbalêngro,adj m,,лысый
